src_en	tgt_fr	src_en_ctx	tgt_fr_ctx	src_en_with_tags	orig_fr	orig_fr_with_tags
Are they the hotel's?	 Sont-elles de l'hôtel?	Yes. And an egg, but only once a week. How's that? Good. Where did these plates come from?<brk> Are they the hotel's?	Oui. Et un oeuf, mais seulement une fois par semaine. Comment ça? Bien. D'où viennent ces assiettes?<brk>	Are <p>they</p> the hotel's?	Elles sont des assiettes de l'hôtel?	<p>Elles</p> sont des assiettes de l'hôtel?
- What tension did they hold?	 - Quelle tension ils ont gardé?	- What? - Ivan, it's all going to hell. What? The rebars in the shuttering in pit six, they wouldn't hold a fucking kitten's fart. It's those mavericks from up north we put in there at the last minute.<brk> - What tension did they hold?	- Quoi? - Ivan, tout ira en enfer. Quoi? Les rebars dans les boucles du cul 6, ils ne pouvaient pas tenir la poitrine d'un putain de chat. C'est ces cinglés du nord qu'on a mis là à la dernière minute.<brk>	- What tension did <p>they</p> hold?	- Elles supportent quelle tension ?	- <p>Elles</p> supportent quelle tension ?
How does it haunt you?	 Comment te hante-t-elle?	I loathe that song. But why did you bite poor Birdie's head off? Because I've heard it more times than I care to. It haunts me. Just stop, for a moment.<brk> How does it haunt you?	Je déteste cette chanson. Mais pourquoi as-tu mordu la tête de Birdie? Parce que je l'ai entendue plus de fois que jamais. Elle me hante. Arrête, un instant.<brk>	How does <p>it</p> haunt you?	Comment peut-elle vous hanter ?	Comment peut-<p>elle</p> vous hanter ?
It's like it never moved.	 Il n'a jamais bougé.	Engines are shut down. No lights. Whoa, it's cold. It's like a dead animal. There's something really wrong here.<brk> It's like it never moved.	Les moteurs sont éteints. Pas de lumières. Il fait froid. On dirait un animal mort. Il y a un problème.<brk>	It's like <p>it</p> never moved.	C'est comme s'il n'avait jamais bougé.	C'est comme s'<p>il</p> n'avait jamais bougé.
When they never even left the prison.	 Quand elles ne sont même pas parties de la prison.	- What kind of Fae can do that? - A Liderc. Trickster Fae capable of impregnating a host without detection. The oblivious mother finds herself delivering his baby mere days later. Then we wipe the mothers' memories, convince them they've re-offended out in the world...<brk> When they never even left the prison.	- Quel genre de fae peut faire ça? - Un leader Fae capable d'accoucher un hôte sans détection. La mère insouciante se retrouve à accoucher son bébé quelques jours plus tard. Puis nous balayons les souvenirs des mères, les convainquons qu'elles ont récidivé dans le monde...<brk>	When <p>they</p> never even left the prison.	Quand elles n'ont jamais quitté la prison.	Quand <p>elles</p> n'ont jamais quitté la prison.
Apparently, it does not get a signal out here in the jungle.	 Apparemment, elle n'émet aucun signal ici, dans la jungle.	Well, got what we came for. No. Vámonos. Brandy? Thank you, no. You know, besides finding those cages, my men also found your radio.<brk> Apparently, it does not get a signal out here in the jungle.	Eh bien, j'ai eu ce que nous cherchions. Non. Vámonos. Brandy? Merci, non. Vous savez, à part trouver ces cages, mes hommes ont aussi trouvé votre radio.<brk>	Apparently, <p>it</p> does not get a signal out here in the jungle.	Apparemment, elle ne capte pas de signal ici.	Apparemment, <p>elle</p> ne capte pas de signal ici.
And when the soccer ball hit your chest, it dislodged it, causing the tear in your lung and a small pneumothorax.	 Et quand le ballon de foot a touché votre poitrine, il l'a délogué, causant une déchirure dans votre poumon et un petit pneumoticône.	Oh. Hi, Dr. Owens. My son posted on his Facebook page that he has a bullet in his lung. It's kind of cool, right? I mean, I'm like a medical mystery. Actually, the going theory is that you breathed it in as a kid.<brk> And when the soccer ball hit your chest, it dislodged it, causing the tear in your lung and a small pneumothorax.	Oh. Bonjour, Dr Owens. Mon fils a posté sur sa page Facebook qu'il avait une balle dans le poumon. C'est plutôt cool, non? Je veux dire, je suis comme un mystère médical. En fait, la théorie est que vous l'avez respirée quand vous étiez enfant.<brk>	And when the soccer ball hit your chest, it dislodged <p>it</p>, causing the tear in your lung and a small pneumothorax.	Et quand le ballon a tapé ta poitrine, elle s'est délogée, causant la buée dans tes poumons et un petit pneumothorax.	Et quand le ballon a tapé ta poitrine, <p>elle</p> s'est délogée, causant la buée dans tes poumons et un petit pneumothorax.
And it broke down on us right on the eisenhower, of course.	 Et elle s'est défoncée sur nous sur l'eisenhower, bien sûr.	- I love you. And I'm proud to be your brother. - I'm so sorry, Matt. Ron and I just kinda lost track of time, and something happened with his car. I don't know, it had something to do with the clutch.<brk> And it broke down on us right on the eisenhower, of course.	- Je t'aime. Et je suis fier d'être ton frère. - Je suis tellement désolé, Matt. Ron et moi avons juste perdu le temps, et quelque chose est arrivé avec sa voiture. Je ne sais pas, elle a quelque chose à voir avec la poignée.<brk>	And <p>it</p> broke down on us right on the eisenhower, of course.	Elle est tombée en panne sur l'Eisenhower, évidemment.	<p>Elle</p> est tombée en panne sur l'Eisenhower, évidemment.
You know how they died.	 Tu sais comment elles sont mortes.	Brenda. I need your help. No. I need your help. You were in the murder room today. You saw the pictures of those women.<brk> You know how they died.	Brenda. J'ai besoin de toi. Non. J'ai besoin de toi. Tu étais dans la chambre du meurtre aujourd'hui. Tu as vu les photos de ces femmes.<brk>	You know how <p>they</p> died.	Tu sais comment elles sont mortes.	Tu sais comment <p>elles</p> sont mortes.
they procure weapons, they lure prey.	 elles procurent les armes, elles attirent les proies.	If she bypasses the gang and cooperates with us, she'd be the next victim. Maybe she got those bruises from Delcampo. Maybe she's the one who killed him. No, men call the shots in a gang. Women tend to facilitate the murders;<brk> they procure weapons, they lure prey.	Si elle contourne le gang et coopère avec nous, elle sera la prochaine victime. Peut-être qu'elle a eu ces contusions à Delcampo. Peut-être qu'elle est celle qui l'a tué. Non, les hommes font les coups dans un gang. Les femmes tendent à faciliter les meurtres ;<brk>	<p>they</p> procure weapons, <p>they</p> lure prey.	elles trouvent les armes, attirent les proies.	<p>elles</p> trouvent les armes, attirent les proies.
Afterwards, it came under new management.	 Après, elle a été nouvellement gérée.	I'll show Zoe to her room. Then we meet for Midday Gathering. Let's go. Miss Robichaux's Academy for Exceptional Young Ladies was established as a premiere girls' finishing school in 1790. During the Civil War, it was converted into a military hospital.<brk> Afterwards, it came under new management.	Je vais montrer Zoe à sa chambre. Puis on se retrouve pour le rassemblement de midi. Allons-y. L'académie de Miss Robichaux pour les Jeunes Ladies Exceptoires a été fondée en 1790 comme école d'études pour filles de premier ordre. Pendant la guerre civile, elle a été convertie en hôpital militaire.<brk>	Afterwards, <p>it</p> came under new management.	Après cela, elle a été confiée à une nouvelle direction.	Après cela, <p>elle</p> a été confiée à une nouvelle direction.
If they do, they don't brag about it as loudly.	 S'ils le font, ils ne se vantent pas aussi fort.	She wasn't you. I gotta go. I mean, you gotta admit, it was pretty rad. I locked a vampire in her dorm with an invisible seal. I mean, how many newbie witches have that on their resume?<brk> If they do, they don't brag about it as loudly.	Elle n'était pas toi. Je dois y aller. Je veux dire, tu dois admettre, c'était plutôt rad. J'ai enfermé un vampire dans son dortoir avec un sceau invisible. Je veux dire, combien de jeunes sorcières ont ça sur leur CV?<brk>	If <p>they</p> do, they don't brag about it as loudly.	Si elles l'ont, elles ne s'en vantent pas aussi bruyamment.	Si <p>elles</p> l'ont, elles ne s'en vantent pas aussi bruyamment.
