src_en	tgt_fr	src_en_ctx	tgt_fr_ctx	src_en_with_tags	orig_fr	orig_fr_with_tags
Are they the hotel's?	Elles sont à l'hôtel?	Yes. And an egg, but only once a week. How's that? Good. Where did these plates come from?<brk> Are they the hotel's?		Are <p>they</p> the hotel's?	Elles sont des assiettes de l'hôtel?	<p>Elles</p> sont des assiettes de l'hôtel?
- What tension did they hold?	- Quelle tension ont-ils retenu?	- What? - Ivan, it's all going to hell. What? The rebars in the shuttering in pit six, they wouldn't hold a fucking kitten's fart. It's those mavericks from up north we put in there at the last minute.<brk> - What tension did they hold?		- What tension did <p>they</p> hold?	- Elles supportent quelle tension ?	- <p>Elles</p> supportent quelle tension ?
How does it haunt you?	Comment te hante-t-elle?	I loathe that song. But why did you bite poor Birdie's head off? Because I've heard it more times than I care to. It haunts me. Just stop, for a moment.<brk> How does it haunt you?		How does <p>it</p> haunt you?	Comment peut-elle vous hanter ?	Comment peut-<p>elle</p> vous hanter ?
It's like it never moved.	On dirait qu'il n'a jamais bougé.	Engines are shut down. No lights. Whoa, it's cold. It's like a dead animal. There's something really wrong here.<brk> It's like it never moved.		It's like <p>it</p> never moved.	C'est comme s'il n'avait jamais bougé.	C'est comme s'<p>il</p> n'avait jamais bougé.
When they never even left the prison.	Quand elles n'ont plus quitté la prison.	- What kind of Fae can do that? - A Liderc. Trickster Fae capable of impregnating a host without detection. The oblivious mother finds herself delivering his baby mere days later. Then we wipe the mothers' memories, convince them they've re-offended out in the world...<brk> When they never even left the prison.		When <p>they</p> never even left the prison.	Quand elles n'ont jamais quitté la prison.	Quand <p>elles</p> n'ont jamais quitté la prison.
Apparently, it does not get a signal out here in the jungle.	Apparemment, il n'a pas de signal dans la jungle.	Well, got what we came for. No. Vámonos. Brandy? Thank you, no. You know, besides finding those cages, my men also found your radio.<brk> Apparently, it does not get a signal out here in the jungle.		Apparently, <p>it</p> does not get a signal out here in the jungle.	Apparemment, elle ne capte pas de signal ici.	Apparemment, <p>elle</p> ne capte pas de signal ici.
And when the soccer ball hit your chest, it dislodged it, causing the tear in your lung and a small pneumothorax.	Et quand le ballon de foot vous a touché la poitrine, il l'a délogé, causant la larme dans vos poumons et un petit pneumotox.	Oh. Hi, Dr. Owens. My son posted on his Facebook page that he has a bullet in his lung. It's kind of cool, right? I mean, I'm like a medical mystery. Actually, the going theory is that you breathed it in as a kid.<brk> And when the soccer ball hit your chest, it dislodged it, causing the tear in your lung and a small pneumothorax.		And when the soccer ball hit your chest, it dislodged <p>it</p>, causing the tear in your lung and a small pneumothorax.	Et quand le ballon a tapé ta poitrine, elle s'est délogée, causant la buée dans tes poumons et un petit pneumothorax.	Et quand le ballon a tapé ta poitrine, <p>elle</p> s'est délogée, causant la buée dans tes poumons et un petit pneumothorax.
And it broke down on us right on the eisenhower, of course.	Et elle s'est cassée sur nous à l'eisenhower, bien sûr.	- I love you. And I'm proud to be your brother. - I'm so sorry, Matt. Ron and I just kinda lost track of time, and something happened with his car. I don't know, it had something to do with the clutch.<brk> And it broke down on us right on the eisenhower, of course.		And <p>it</p> broke down on us right on the eisenhower, of course.	Elle est tombée en panne sur l'Eisenhower, évidemment.	<p>Elle</p> est tombée en panne sur l'Eisenhower, évidemment.
You know how they died.	Vous savez comment elles sont mortes.	Brenda. I need your help. No. I need your help. You were in the murder room today. You saw the pictures of those women.<brk> You know how they died.		You know how <p>they</p> died.	Tu sais comment elles sont mortes.	Tu sais comment <p>elles</p> sont mortes.
they procure weapons, they lure prey.	Elles se procurent des armes, elles se servent de leurs proies.	If she bypasses the gang and cooperates with us, she'd be the next victim. Maybe she got those bruises from Delcampo. Maybe she's the one who killed him. No, men call the shots in a gang. Women tend to facilitate the murders;<brk> they procure weapons, they lure prey.		<p>they</p> procure weapons, <p>they</p> lure prey.	elles trouvent les armes, attirent les proies.	<p>elles</p> trouvent les armes, attirent les proies.
