source_full	source_current	source_context	source_current_tagged	source_context_tagged	gold_target_full	gold_target_current	gold_target_context	gold_target_current_tagged	gold_target_context_tagged	gold_target_current_contrast	generated_target_full	generated_target_current	generated_target_context
Yes. And an egg, but only once a week. How's that? Good. Where did these plates come from?<brk> Are they the hotel's?	Are they the hotel's?	Yes. And an egg, but only once a week. How's that? Good. Where did these plates come from?	Are <p>they</p> the hotel's?	Yes. And an egg, but only once a week. How's that? Good. Where did these <hon>plates<hoff> come from?	Oui. Et un oeuf, mais seulement une fois par semaine. Ça va, non? Ça va. D'où viennent ces  assiettes ?<brk> Elles sont des assiettes de l'hôtel?	Elles sont des assiettes de l'hôtel?	Oui. Et un oeuf, mais seulement une fois par semaine. Ça va, non? Ça va. D'où viennent ces  assiettes ?	<p>Elles</p> sont des assiettes de l'hôtel?	Oui. Et un oeuf, mais seulement une fois par semaine. Ça va, non? Ça va. D'où viennent ces  <hon>assiettes<hoff> ?	Ils sont des assiettes de l'hôtel?	Oui. Et un oeuf, mais seulement une fois par semaine. Comment ça? Bien. D'où viennent ces assiettes? <brk> Elles sont à l'hôtel?	Elles sont à l'hôtel?	Oui. Et un oeuf, mais seulement une fois par semaine. Comment ça? Bien. D'où viennent ces assiettes?
- What? - Ivan, it's all going to hell. What? The rebars in the shuttering in pit six, they wouldn't hold a fucking kitten's fart. It's those mavericks from up north we put in there at the last minute.<brk> - What tension did they hold?	- What tension did they hold?	- What? - Ivan, it's all going to hell. What? The rebars in the shuttering in pit six, they wouldn't hold a fucking kitten's fart. It's those mavericks from up north we put in there at the last minute.	- What tension did <p>they</p> hold?	- What? - Ivan, it's all going to hell. What? The <hon>rebars<hoff> in the shuttering in pit six, they wouldn't hold a fucking kitten's fart. It's those mavericks from up north we put in there at the last minute.	- De quoi ? - Ivan, c'est la descente aux enfers. Quoi ? Les  barres  dans le puis numéro 6 ne supporteront pas un pet de lapin. Ces abrutis du nord, les ont installées à la dernière minute.<brk> - Elles supportent quelle tension ?	- Elles supportent quelle tension ?	- De quoi ? - Ivan, c'est la descente aux enfers. Quoi ? Les  barres  dans le puis numéro 6 ne supporteront pas un pet de lapin. Ces abrutis du nord, les ont installées à la dernière minute.	- <p>Elles</p> supportent quelle tension ?	- De quoi ? - Ivan, c'est la descente aux enfers. Quoi ? Les  <hon>barres<hoff>  dans le puis numéro 6 ne supporteront pas un pet de lapin. Ces abrutis du nord, les ont installées à la dernière minute.	- Ils supportent quelle tension ?	- Quoi? - Ivan, ça va aller en enfer. Quoi? Les armatures dans l'étable six, elles ne tiendraient pas un putain de chaton. Ce sont ces mavericks du nord qu'on a mis là à la dernière minute. <brk> - Quelle tension ils tenaient?	- Quelle tension ils tenaient?	- Quoi? - Ivan, ça va aller en enfer. Quoi? Les armatures dans l'étable six, elles ne tiendraient pas un putain de chaton. Ce sont ces mavericks du nord qu'on a mis là à la dernière minute.
I loathe that song. But why did you bite poor Birdie's head off? Because I've heard it more times than I care to. It haunts me. Just stop, for a moment.<brk> How does it haunt you?	How does it haunt you?	I loathe that song. But why did you bite poor Birdie's head off? Because I've heard it more times than I care to. It haunts me. Just stop, for a moment.	How does <p>it</p> haunt you?	I loathe that <hon>song<hoff>. But why did you bite poor Birdie's head off? Because I've heard it more times than I care to. <hon>It<hoff> haunts me. Just stop, for a moment.	Je hais cette  chanson . Mais pourquoi avoir parlé ainsi à la pauvre Birdie ? Parce que j'ai entendu ce chant plus que de fois que je ne le peux. Elle me hante. Arrêtez-vous un moment.<brk> Comment peut-elle vous hanter ?	Comment peut-elle vous hanter ?	Je hais cette  chanson . Mais pourquoi avoir parlé ainsi à la pauvre Birdie ? Parce que j'ai entendu ce chant plus que de fois que je ne le peux. Elle me hante. Arrêtez-vous un moment.	Comment peut-<p>elle</p> vous hanter ?	Je hais cette  <hon>chanson<hoff> . Mais pourquoi avoir parlé ainsi à la pauvre Birdie ? Parce que j'ai entendu ce chant plus que de fois que je ne le peux. <hon>Elle<hoff> me hante. Arrêtez-vous un moment.	Comment peut-il vous hanter ?	Je déteste cette chanson. Mais pourquoi tu as mordu la tête du pauvre Birdie? Parce que je l'ai entendu plus de fois que je ne veux. Elle me hante. Arrête un instant. <brk> Comment elle te hante?	Comment elle te hante?	Je déteste cette chanson. Mais pourquoi tu as mordu la tête du pauvre Birdie? Parce que je l'ai entendu plus de fois que je ne veux. Elle me hante. Arrête un instant.
Engines are shut down. No lights. Whoa, it's cold. It's like a dead animal. There's something really wrong here.<brk> It's like it never moved.	It's like it never moved.	Engines are shut down. No lights. Whoa, it's cold. It's like a dead animal. There's something really wrong here.	It's like <p>it</p> never moved.	Engines are shut down. No lights. Whoa, it's cold. It's like a dead <hon>animal<hoff>. There's something really wrong here.	Les moteurs sont éteints. Pas de lumières. C'est froid. C'est comme un  animal  mort. Il y a un truc qui ne va pas ici.<brk> C'est comme s'il n'avait jamais bougé.	C'est comme s'il n'avait jamais bougé.	Les moteurs sont éteints. Pas de lumières. C'est froid. C'est comme un  animal  mort. Il y a un truc qui ne va pas ici.	C'est comme s'<p>il</p> n'avait jamais bougé.	Les moteurs sont éteints. Pas de lumières. C'est froid. C'est comme un  <hon>animal<hoff>  mort. Il y a un truc qui ne va pas ici.	C'est comme s'elle n'avait jamais bougé.	Les moteurs sont éteints. Pas de lumières. Il fait froid. C'est comme un animal mort. Il y a quelque chose qui cloche ici. <brk> C'est comme s'il n'avait jamais bougé.	C'est comme s'il n'avait jamais bougé.	Les moteurs sont éteints. Pas de lumières. Il fait froid. C'est comme un animal mort. Il y a quelque chose qui cloche ici.
- What kind of Fae can do that? - A Liderc. Trickster Fae capable of impregnating a host without detection. The oblivious mother finds herself delivering his baby mere days later. Then we wipe the mothers' memories, convince them they've re-offended out in the world...<brk> When they never even left the prison.	When they never even left the prison.	- What kind of Fae can do that? - A Liderc. Trickster Fae capable of impregnating a host without detection. The oblivious mother finds herself delivering his baby mere days later. Then we wipe the mothers' memories, convince them they've re-offended out in the world...	When <p>they</p> never even left the prison.	- What kind of Fae can do that? - A Liderc. Trickster Fae capable of impregnating a host without detection. The oblivious mother finds herself delivering his baby mere days later. Then we wipe the <hon>mothers<hoff>' memories, convince them <hon>they<hoff>'ve re-offended out in the world...	- Quel genre de Fae fait cela ? - Un(e) Liderc. Trickster Fae capable de féconder un hôte sans détection. La mèreinconsciente se retrouve à accoucher de son bébé quelques jours plus tard. Alors nous effaçons les souvenirs des  mères  les Convainquant qu'elles ont récidivé dans le monde ...<brk> Quand elles n'ont jamais quitté la prison.	Quand elles n'ont jamais quitté la prison.	- Quel genre de Fae fait cela ? - Un(e) Liderc. Trickster Fae capable de féconder un hôte sans détection. La mèreinconsciente se retrouve à accoucher de son bébé quelques jours plus tard. Alors nous effaçons les souvenirs des  mères  les Convainquant qu'elles ont récidivé dans le monde ...	Quand <p>elles</p> n'ont jamais quitté la prison.	- Quel genre de Fae fait cela ? - Un(e) Liderc. Trickster Fae capable de féconder un hôte sans détection. La mèreinconsciente se retrouve à accoucher de son bébé quelques jours plus tard. Alors nous effaçons les souvenirs des  <hon>mères<hoff>  les Convainquant qu'<hon>elles<hoff> ont récidivé dans le monde ...	Quand ils n'ont jamais quitté la prison.	- Quel genre de Fae peut faire ça? - Un Liderc. Un Trickster Fae capable d'imprégner un hôte sans être détecté. La mère insouciante se retrouve à accoucher quelques jours plus tard. Ensuite, on efface les souvenirs des mères, on les convaincs qu'elles se sont rétablies dans le monde... <brk> Quand elles n'ont même jamais quitté la prison.	Quand elles n'ont même jamais quitté la prison.	- Quel genre de Fae peut faire ça? - Un Liderc. Un Trickster Fae capable d'imprégner un hôte sans être détecté. La mère insouciante se retrouve à accoucher quelques jours plus tard. Ensuite, on efface les souvenirs des mères, on les convaincs qu'elles se sont rétablies dans le monde...
Well, got what we came for. No. Vámonos. Brandy? Thank you, no. You know, besides finding those cages, my men also found your radio.<brk> Apparently, it does not get a signal out here in the jungle.	Apparently, it does not get a signal out here in the jungle.	Well, got what we came for. No. Vámonos. Brandy? Thank you, no. You know, besides finding those cages, my men also found your radio.	Apparently, <p>it</p> does not get a signal out here in the jungle.	Well, got what we came for. No. Vámonos. Brandy? Thank you, no. You know, besides finding those cages, my men also found your <hon>radio<hoff>.	Nous avons ce pour quoi nous sommes venus. Non. allons-y. Brandy ? Non, merci. Vous savez, à part ces cages, mes hommes ont aussi trouvé votre  radio .<brk> Apparemment, elle ne capte pas de signal ici.	Apparemment, elle ne capte pas de signal ici.	Nous avons ce pour quoi nous sommes venus. Non. allons-y. Brandy ? Non, merci. Vous savez, à part ces cages, mes hommes ont aussi trouvé votre  radio .	Apparemment, <p>elle</p> ne capte pas de signal ici.	Nous avons ce pour quoi nous sommes venus. Non. allons-y. Brandy ? Non, merci. Vous savez, à part ces cages, mes hommes ont aussi trouvé votre  <hon>radio<hoff> .	Apparemment, il ne capte pas de signal ici.	J'ai ce qu'on voulait. Non. V<unk> monos. Brandy? Merci, non. Tu sais, à part trouver ces cages, mes hommes ont aussi trouvé ta radio. <brk> Apparemment, elle n'a pas de signal dans la jungle.	Apparemment, elle n'a pas de signal dans la jungle.	J'ai ce qu'on voulait. Non. V<unk> monos. Brandy? Merci, non. Tu sais, à part trouver ces cages, mes hommes ont aussi trouvé ta radio.
Oh. Hi, Dr. Owens. My son posted on his Facebook page that he has a bullet in his lung. It's kind of cool, right? I mean, I'm like a medical mystery. Actually, the going theory is that you breathed it in as a kid.<brk> And when the soccer ball hit your chest, it dislodged it, causing the tear in your lung and a small pneumothorax.	And when the soccer ball hit your chest, it dislodged it, causing the tear in your lung and a small pneumothorax.	Oh. Hi, Dr. Owens. My son posted on his Facebook page that he has a bullet in his lung. It's kind of cool, right? I mean, I'm like a medical mystery. Actually, the going theory is that you breathed it in as a kid.	And when the soccer ball hit your chest, it dislodged <p>it</p>, causing the tear in your lung and a small pneumothorax.	Oh. Hi, Dr. Owens. My son posted on his Facebook page that he has a <hon>bullet<hoff> in his lung. It's kind of cool, right? I mean, I'm like a medical mystery. Actually, the going theory is that you breathed it in as a kid.	Salut, Dr Owens. Mon fils à posté sur sa page Facebook qu'il a une  balle  dans son poumon. C'est plutôt cool, pas vrai ? Je suis un genre de mystère médical. En fait, on a une théorie comme quoi tu l'aurais respirée étant petit<brk> Et quand le ballon a tapé ta poitrine, elle s'est délogée, causant la buée dans tes poumons et un petit pneumothorax.	Et quand le ballon a tapé ta poitrine, elle s'est délogée, causant la buée dans tes poumons et un petit pneumothorax.	Salut, Dr Owens. Mon fils à posté sur sa page Facebook qu'il a une  balle  dans son poumon. C'est plutôt cool, pas vrai ? Je suis un genre de mystère médical. En fait, on a une théorie comme quoi tu l'aurais respirée étant petit	Et quand le ballon a tapé ta poitrine, <p>elle</p> s'est délogée, causant la buée dans tes poumons et un petit pneumothorax.	Salut, Dr Owens. Mon fils à posté sur sa page Facebook qu'il a une  <hon>balle<hoff>  dans son poumon. C'est plutôt cool, pas vrai ? Je suis un genre de mystère médical. En fait, on a une théorie comme quoi tu l'aurais respirée étant petit	Et quand le ballon a tapé ta poitrine, il s'est délogée, causant la buée dans tes poumons et un petit pneumothorax.	Oh, salut, Dr Owens. Mon fils a publié sur sa page Facebook qu'il avait une balle dans le poumon. C'est plutôt cool, non? Je veux dire, je suis comme un mystère médical. En fait, la théorie est que vous l'avez inspiré quand vous étiez enfant. <brk> Et quand le ballon de foot vous a frappé la poitrine, il l'a déloge, causant la déchirure dans votre poumon et un petit pneumothorax.	Et quand le ballon de foot vous a frappé la poitrine, il l'a déloge, causant la déchirure dans votre poumon et un petit pneumothorax.	Oh, salut, Dr Owens. Mon fils a publié sur sa page Facebook qu'il avait une balle dans le poumon. C'est plutôt cool, non? Je veux dire, je suis comme un mystère médical. En fait, la théorie est que vous l'avez inspiré quand vous étiez enfant.
- I love you. And I'm proud to be your brother. - I'm so sorry, Matt. Ron and I just kinda lost track of time, and something happened with his car. I don't know, it had something to do with the clutch.<brk> And it broke down on us right on the eisenhower, of course.	And it broke down on us right on the eisenhower, of course.	- I love you. And I'm proud to be your brother. - I'm so sorry, Matt. Ron and I just kinda lost track of time, and something happened with his car. I don't know, it had something to do with the clutch.	And <p>it</p> broke down on us right on the eisenhower, of course.	- I love you. And I'm proud to be your brother. - I'm so sorry, Matt. Ron and I just kinda lost track of time, and something happened with his <hon>car<hoff>. I don't know, it had something to do with the clutch.	Je t'aime. Et je suis fier d'être ton frère. Je suis désolée, Matt. Ron et moi avons perdu la notion du temps, et sa  voiture  a eu un problème. C'était quelque chose avec l'embrayage.<brk> Elle est tombée en panne sur l'Eisenhower, évidemment.	Elle est tombée en panne sur l'Eisenhower, évidemment.	Je t'aime. Et je suis fier d'être ton frère. Je suis désolée, Matt. Ron et moi avons perdu la notion du temps, et sa  voiture  a eu un problème. C'était quelque chose avec l'embrayage.	<p>Elle</p> est tombée en panne sur l'Eisenhower, évidemment.	Je t'aime. Et je suis fier d'être ton frère. Je suis désolée, Matt. Ron et moi avons perdu la notion du temps, et sa  <hon>voiture<hoff>  a eu un problème. C'était quelque chose avec l'embrayage.	Il est tombée en panne sur l'Eisenhower, évidemment.	- Je t'aime. Et je suis fier d'être ton frère. - Je suis tellement désolé, Matt. Ron et moi avons perdu la notion du temps, et quelque chose est arrivé avec sa voiture. Je ne sais pas, elle avait un rapport avec l'embrayage. <brk> Et il est tombé sur nous sur l'eisenhower, bien sûr.	Et il est tombé sur nous sur l'eisenhower, bien sûr.	- Je t'aime. Et je suis fier d'être ton frère. - Je suis tellement désolé, Matt. Ron et moi avons perdu la notion du temps, et quelque chose est arrivé avec sa voiture. Je ne sais pas, elle avait un rapport avec l'embrayage.
Brenda. I need your help. No. I need your help. You were in the murder room today. You saw the pictures of those women.<brk> You know how they died.	You know how they died.	Brenda. I need your help. No. I need your help. You were in the murder room today. You saw the pictures of those women.	You know how <p>they</p> died.	Brenda. I need your help. No. I need your help. You were in the murder room today. You saw the pictures of those <hon>women<hoff>.	Brenda. J'ai besoin de ton aide. Non, j'ai besoin de votre aide. Vous êtes passé devant le tableau, aujourd'hui. Tu as vu les photos de ces  femmes .<brk> Tu sais comment elles sont mortes.	Tu sais comment elles sont mortes.	Brenda. J'ai besoin de ton aide. Non, j'ai besoin de votre aide. Vous êtes passé devant le tableau, aujourd'hui. Tu as vu les photos de ces  femmes .	Tu sais comment <p>elles</p> sont mortes.	Brenda. J'ai besoin de ton aide. Non, j'ai besoin de votre aide. Vous êtes passé devant le tableau, aujourd'hui. Tu as vu les photos de ces  <hon>femmes<hoff> .	Tu sais comment ils sont mortes.	Brenda. J'ai besoin de toi. Non. J'ai besoin de toi. Tu étais dans la salle des meurtres aujourd'hui. Tu as vu les photos de ces femmes. <brk> Tu sais comment elles sont mortes.	Tu sais comment elles sont mortes.	Brenda. J'ai besoin de toi. Non. J'ai besoin de toi. Tu étais dans la salle des meurtres aujourd'hui. Tu as vu les photos de ces femmes.
If she bypasses the gang and cooperates with us, she'd be the next victim. Maybe she got those bruises from Delcampo. Maybe she's the one who killed him. No, men call the shots in a gang. Women tend to facilitate the murders;<brk> they procure weapons, they lure prey.	they procure weapons, they lure prey.	If she bypasses the gang and cooperates with us, she'd be the next victim. Maybe she got those bruises from Delcampo. Maybe she's the one who killed him. No, men call the shots in a gang. Women tend to facilitate the murders;	<p>they</p> procure weapons, <p>they</p> lure prey.	If she bypasses the gang and cooperates with us, she'd be the next victim. Maybe she got those bruises from Delcampo. Maybe she's the one who killed him. No, men call the shots in a gang. <hon>Women<hoff> tend to facilitate the murders;	Si elle contourne le gang et coopère avec nous, elle pourrait être la prochaine victime. Peut-être que Delcampo lui a fait ces bleus. Peut-être qu'elle l'a tué. Non, les hommes tirent dans le gang. Les  femmes  aident ;<brk> elles trouvent les armes, attirent les proies.	elles trouvent les armes, attirent les proies.	Si elle contourne le gang et coopère avec nous, elle pourrait être la prochaine victime. Peut-être que Delcampo lui a fait ces bleus. Peut-être qu'elle l'a tué. Non, les hommes tirent dans le gang. Les  femmes  aident ;	<p>elles</p> trouvent les armes, attirent les proies.	Si elle contourne le gang et coopère avec nous, elle pourrait être la prochaine victime. Peut-être que Delcampo lui a fait ces bleus. Peut-être qu'elle l'a tué. Non, les hommes tirent dans le gang. Les  <hon>femmes<hoff>  aident ;	ils trouvent les armes, attirent les proies.	Si elle contournait le gang et coopérait avec nous, elle serait la prochaine victime. Peut-être qu'elle a eu ces bleus de Delcampo. C'est peut-être elle qui l'a tué. Non, les hommes appellent les coups de feu dans un gang. Les femmes ont tendance à faciliter les meurtres, <brk> elles se procurent des armes, elles attirent des proies.	elles se procurent des armes, elles attirent des proies.	Si elle contournait le gang et coopérait avec nous, elle serait la prochaine victime. Peut-être qu'elle a eu ces bleus de Delcampo. C'est peut-être elle qui l'a tué. Non, les hommes appellent les coups de feu dans un gang. Les femmes ont tendance à faciliter les meurtres,
