src_en	tgt_fr	src_en_ctx	tgt_fr_ctx	src_en_with_tags	orig_fr	orig_fr_with_tags
Are they the hotel's?	 Elles sont à l'hôtel?	Yes. And an egg, but only once a week. How's that? Good. Where did these plates come from?<brk> Are they the hotel's?	 Oui. Et un oeuf, mais seulement une fois par semaine. Comment ça? Bien. D'où viennent ces assiettes?<brk>	Are <p>they</p> the hotel's?	Elles sont des assiettes de l'hôtel?	<p>Elles</p> sont des assiettes de l'hôtel?
- What tension did they hold?	 - Quelle tension ils tenaient?	- What? - Ivan, it's all going to hell. What? The rebars in the shuttering in pit six, they wouldn't hold a fucking kitten's fart. It's those mavericks from up north we put in there at the last minute.<brk> - What tension did they hold?	 - Quoi? - Ivan, ça va aller en enfer. Quoi? Les armatures dans l'étable six, elles ne tiendraient pas un putain de chaton. Ce sont ces mavericks du nord qu'on a mis là à la dernière minute.<brk>	- What tension did <p>they</p> hold?	- Elles supportent quelle tension ?	- <p>Elles</p> supportent quelle tension ?
How does it haunt you?	 Comment elle te hante?	I loathe that song. But why did you bite poor Birdie's head off? Because I've heard it more times than I care to. It haunts me. Just stop, for a moment.<brk> How does it haunt you?	 Je déteste cette chanson. Mais pourquoi tu as mordu la tête du pauvre Birdie? Parce que je l'ai entendu plus de fois que je ne veux. Elle me hante. Arrête un instant.<brk>	How does <p>it</p> haunt you?	Comment peut-elle vous hanter ?	Comment peut-<p>elle</p> vous hanter ?
It's like it never moved.	 C'est comme s'il n'avait jamais bougé.	Engines are shut down. No lights. Whoa, it's cold. It's like a dead animal. There's something really wrong here.<brk> It's like it never moved.	 Les moteurs sont éteints. Pas de lumières. Il fait froid. C'est comme un animal mort. Il y a quelque chose qui cloche ici.<brk>	It's like <p>it</p> never moved.	C'est comme s'il n'avait jamais bougé.	C'est comme s'<p>il</p> n'avait jamais bougé.
When they never even left the prison.	 Quand elles n'ont même jamais quitté la prison.	- What kind of Fae can do that? - A Liderc. Trickster Fae capable of impregnating a host without detection. The oblivious mother finds herself delivering his baby mere days later. Then we wipe the mothers' memories, convince them they've re-offended out in the world...<brk> When they never even left the prison.	 - Quel genre de Fae peut faire ça? - Un Liderc. Un Trickster Fae capable d'imprégner un hôte sans être détecté. La mère insouciante se retrouve à accoucher quelques jours plus tard. Ensuite, on efface les souvenirs des mères, on les convaincs qu'elles se sont rétablies dans le monde...<brk>	When <p>they</p> never even left the prison.	Quand elles n'ont jamais quitté la prison.	Quand <p>elles</p> n'ont jamais quitté la prison.
Apparently, it does not get a signal out here in the jungle.	 Apparemment, elle n'a pas de signal dans la jungle.	Well, got what we came for. No. Vámonos. Brandy? Thank you, no. You know, besides finding those cages, my men also found your radio.<brk> Apparently, it does not get a signal out here in the jungle.	 J'ai ce qu'on voulait. Non. V<unk> monos. Brandy? Merci, non. Tu sais, à part trouver ces cages, mes hommes ont aussi trouvé ta radio.<brk>	Apparently, <p>it</p> does not get a signal out here in the jungle.	Apparemment, elle ne capte pas de signal ici.	Apparemment, <p>elle</p> ne capte pas de signal ici.
And when the soccer ball hit your chest, it dislodged it, causing the tear in your lung and a small pneumothorax.	 Et quand le ballon de foot vous a frappé la poitrine, il l'a déloge, causant la déchirure dans votre poumon et un petit pneumothorax.	Oh. Hi, Dr. Owens. My son posted on his Facebook page that he has a bullet in his lung. It's kind of cool, right? I mean, I'm like a medical mystery. Actually, the going theory is that you breathed it in as a kid.<brk> And when the soccer ball hit your chest, it dislodged it, causing the tear in your lung and a small pneumothorax.	 Oh, salut, Dr Owens. Mon fils a publié sur sa page Facebook qu'il avait une balle dans le poumon. C'est plutôt cool, non? Je veux dire, je suis comme un mystère médical. En fait, la théorie est que vous l'avez inspiré quand vous étiez enfant.<brk>	And when the soccer ball hit your chest, it dislodged <p>it</p>, causing the tear in your lung and a small pneumothorax.	Et quand le ballon a tapé ta poitrine, elle s'est délogée, causant la buée dans tes poumons et un petit pneumothorax.	Et quand le ballon a tapé ta poitrine, <p>elle</p> s'est délogée, causant la buée dans tes poumons et un petit pneumothorax.
And it broke down on us right on the eisenhower, of course.	 Et il est tombé sur nous sur l'eisenhower, bien sûr.	- I love you. And I'm proud to be your brother. - I'm so sorry, Matt. Ron and I just kinda lost track of time, and something happened with his car. I don't know, it had something to do with the clutch.<brk> And it broke down on us right on the eisenhower, of course.	 - Je t'aime. Et je suis fier d'être ton frère. - Je suis tellement désolé, Matt. Ron et moi avons perdu la notion du temps, et quelque chose est arrivé avec sa voiture. Je ne sais pas, elle avait un rapport avec l'embrayage.<brk>	And <p>it</p> broke down on us right on the eisenhower, of course.	Elle est tombée en panne sur l'Eisenhower, évidemment.	<p>Elle</p> est tombée en panne sur l'Eisenhower, évidemment.
You know how they died.	 Tu sais comment elles sont mortes.	Brenda. I need your help. No. I need your help. You were in the murder room today. You saw the pictures of those women.<brk> You know how they died.	 Brenda. J'ai besoin de toi. Non. J'ai besoin de toi. Tu étais dans la salle des meurtres aujourd'hui. Tu as vu les photos de ces femmes.<brk>	You know how <p>they</p> died.	Tu sais comment elles sont mortes.	Tu sais comment <p>elles</p> sont mortes.
they procure weapons, they lure prey.	 elles se procurent des armes, elles attirent des proies.	If she bypasses the gang and cooperates with us, she'd be the next victim. Maybe she got those bruises from Delcampo. Maybe she's the one who killed him. No, men call the shots in a gang. Women tend to facilitate the murders;<brk> they procure weapons, they lure prey.	 Si elle contournait le gang et coopérait avec nous, elle serait la prochaine victime. Peut-être qu'elle a eu ces bleus de Delcampo. C'est peut-être elle qui l'a tué. Non, les hommes appellent les coups de feu dans un gang. Les femmes ont tendance à faciliter les meurtres,<brk>	<p>they</p> procure weapons, <p>they</p> lure prey.	elles trouvent les armes, attirent les proies.	<p>elles</p> trouvent les armes, attirent les proies.
Afterwards, it came under new management.	 Ensuite, elle est entrée sous une nouvelle direction.	I'll show Zoe to her room. Then we meet for Midday Gathering. Let's go. Miss Robichaux's Academy for Exceptional Young Ladies was established as a premiere girls' finishing school in 1790. During the Civil War, it was converted into a military hospital.<brk> Afterwards, it came under new management.	 Je montrerai Zoé à sa chambre. Puis on se retrouve pour la réunion de midi. Allons-y. L'Académie de Miss Robichaux pour Jeunes Dames Exceptionnelles a été créée comme une école de premier ordre pour les filles en 1790. Pendant la guerre de Sécession, elle a été convertie en hôpital militaire.<brk>	Afterwards, <p>it</p> came under new management.	Après cela, elle a été confiée à une nouvelle direction.	Après cela, <p>elle</p> a été confiée à une nouvelle direction.
If they do, they don't brag about it as loudly.	 Si elles le font, elles ne se vantent pas aussi fort.	She wasn't you. I gotta go. I mean, you gotta admit, it was pretty rad. I locked a vampire in her dorm with an invisible seal. I mean, how many newbie witches have that on their resume?<brk> If they do, they don't brag about it as loudly.	 Elle n'était pas toi. Je dois y aller. Je veux dire, tu dois admettre, c'était une sacrée rad. J'ai enfermé un vampire dans son dortoir avec un sceau invisible. Je veux dire, combien de jeunes sorcières ont ça sur leur CV?<brk>	If <p>they</p> do, they don't brag about it as loudly.	Si elles l'ont, elles ne s'en vantent pas aussi bruyamment.	Si <p>elles</p> l'ont, elles ne s'en vantent pas aussi bruyamment.
Their tears ran of blood, and they had snakes for hair.	 Leurs larmes ont coulé de sang, et elles avaient des serpents pour les cheveux.	like the furies coming down to punish orestes. You have no idea what I'm talking about, do you? Was...washe theguy who stabbed out his eyes? God,that's oedipus, you dumbass! The furies are deities of vengeance.<brk> Their tears ran of blood, and they had snakes for hair.	 comme les furies qui descendent pour punir les orestes. Vous n'avez aucune idée de ce dont je parle, n'est-ce pas? Est-ce que... badait le gars qui lui a poignardé les yeux? Dieu, c'est œdipe, idiot! Les furies sont des divinités de la vengeance.<brk>	Their tears ran of blood, and <p>they</p> had snakes for hair.	Leurs larmes étaient en sang, et elles avaient des serpents à la place des cheveux.	Leurs larmes étaient en sang, et <p>elles</p> avaient des serpents à la place des cheveux.
Well, they hate it when a kid's used like that.	 Elles détestent quand un enfant est utilisé comme ça.	You didn't find anything in my room, did you? Just tell me what you know about the riot. Which one of you guys killed my wife? What makes you think it was one of us? How are the women doing after this morning?<brk> Well, they hate it when a kid's used like that.	 Vous n'avez rien trouvé dans ma chambre, n'est-ce pas? Dites-moi ce que vous savez sur l'émeute. Lequel d'entre vous a tué ma femme? Qu'est-ce qui vous fait croire qu'elle était de nous? Comment vont les femmes après ce matin?<brk>	Well, <p>they</p> hate it when a kid's used like that.	Et bien, elles détestent quand un enfant est utilisé comme ça.	Et bien, <p>elles</p> détestent quand un enfant est utilisé comme ça.
I've decided that this year, it should hang on your tree.	 J'ai décidé que cette année, elle devrait être accrochée à votre arbre.	No questions asked. You swear to me? I swear. I'd like to present you all with this star, this... beacon... of Bethlehem. It was handcrafted for the Archdiocese of Boston.<brk> I've decided that this year, it should hang on your tree.	 Sans question. Vous me le jurez? Je vous le jure. J'aimerais vous montrer cette étoile, ce... phare... de Bethlehem. Elle a été conçue artisanalement pour l'archidiocèse de Boston.<brk>	I've decided that this year, <p>it</p> should hang on your tree.	J'ai décidé que cette année, elle irait sur votre sapin.	J'ai décidé que cette année, <p>elle</p> irait sur votre sapin.
I was picking his things and it landed on my head.	 Je pioche ses affaires et elle a atterri sur ma tête.	It's best if you come with us. What a pity! You've got a cut! The dove! She threw it out the window.<brk> I was picking his things and it landed on my head.	 C'est mieux si tu viens avec nous. Quel dommage! Tu as une coupure! La colombe! Elle l'a jetée par la fenêtre.<brk>	I was picking his things and <p>it</p> landed on my head.	Je ramassais des affaires et il m'est tombé sur la tête.	Je ramassais des affaires et <p>il</p> m'est tombé sur la tête.
They find out you stole it, they would...	 Elles découvrent que vous l'avez volé, elles...	Let's get started. Helping you find your happiness, saving you... That's what's gonna save me. This isn't your pixie dust, is it? Well, when you think about it, does anyone really own pixie dust? The fairies are quite proprietary about it.<brk> They find out you stole it, they would...	 Commençons. Vous aider à trouver votre bonheur, vous sauver... C'est ce qui va me sauver. Ce n'est pas votre poudre de fée, n'est-ce pas? Eh bien, quand on y pense, est-ce que quelqu'un possède vraiment de la poudre de fée? Les fées sont très propriétaires à ce sujet.<brk>	<p>They</p> find out you stole it, they would...	Si elles l'apprennent...	Si <p>elles</p> l'apprennent...
I'm really good at fixing it when it freezes.	 Je suis vraiment doué pour la réparer quand elle gèle.	Okay, okay. Calm down. First of all, you did the right thing by hiding under this table. Secondly, your man is here. I'm gonna take care of this for us. I've been playing Xbox for years.<brk> I'm really good at fixing it when it freezes.	 D'accord, d'accord. Calme-toi. D'abord, tu as fait ce qu'il fallait en te cachant sous cette table. Deuxièmement, ton homme est là. Je vais m'en occuper pour nous. Je joue à la Xbox depuis des années.<brk>	I'm really good at fixing <p>it</p> when it freezes.	Je suis très doué pour la réparer quand elle plante.	Je suis très doué pour <p>la</p> réparer quand elle plante.
They meet a nice guy, maybe they get more.	 Elles rencontrent un type sympa, peut-être qu'elles en ont plus.	I don't know who's behind it, and I don't want to. My girls... they have good life. They make good money. Legal money. They get nice clothes, apartment.<brk> They meet a nice guy, maybe they get more.	 Je ne sais pas qui est derrière, et je ne veux pas. Mes filles... elles ont une vie agréable. Elles gagnent de l'argent. De l'argent légal. Elles ont de beaux habits, un appartement.<brk>	<p>They</p> meet a nice guy, maybe they get more.	Elles rencontrent des mecs sympas, elles peuvent même avoir plus.	<p>Elles</p> rencontrent des mecs sympas, elles peuvent même avoir plus.
- Mmm. - What, you didn't... Know it was missing?	 - Quoi, tu n'as pas... Tu sais qu'elle avait disparu?	- Ah, yes, the vehicle that you mentioned on the phone. You see, it makes a great deal of financial sense for me to buy a car of that price and then to ship it home. I'm head of the division of economic affairs, so you'll forgive me if I take a little pride in knowing how to strike a bargain. I'm not sure how you're gonna feel about your bargain now. That's my car?<brk> - Mmm. - What, you didn't... Know it was missing?	 - Ah, oui, le véhicule dont tu parles au téléphone. Tu vois, ça a beaucoup de sens financièrement pour moi d'acheter une voiture à ce prix et de la ramener chez elle. Je suis à la tête de la division des affaires économiques, alors tu me pardonneras si je suis un peu fière de savoir comment faire un marché. Je ne suis pas sûre de ce que tu vas penser de ton marché maintenant. C'est ma voiture?<brk>	- Mmm. - What, you didn't... Know <p>it</p> was missing?	Vous ne saviez pas qu'elle avait disparu ?	Vous ne saviez pas qu'<p>elle</p> avait disparu ?
Especially if it has fresh mozzarella.	 Surtout si elle a de la mozzarella fraîche.	Yeah, that's... Real admirable. You know what? I'm gonna run that 5k, and when I win, I'll be celebrating in my poolside cabana with a big ol' Denver omelet to keep me company. A Denver omelet might actually be better company.<brk> Especially if it has fresh mozzarella.	 Oui, c'est... Vraiment admirable. Tu sais quoi? Je vais courir ce 5k, et quand je gagnerai, je ferai la fête dans mon cabine près de la piscine avec une vieille omelette de Denver pour me tenir compagnie. Une omelette de Denver pourrait en fait être une meilleure compagnie.<brk>	Especially if <p>it</p> has fresh mozzarella.	Surtout si elle a de la mozzarella fraiche.	Surtout si <p>elle</p> a de la mozzarella fraiche.
Yes, it's in the infirmary already.	 Oui, il est déjà dans l'infirmerie.	Rose, it'd be good it this week you could pay her special attention. - Look after her a lot. -Okay. Any questions? Have we got her report?<brk> Yes, it's in the infirmary already.	 Rose, ça serait bien que cette semaine, tu puisses faire attention à elle. - Attention à elle. - D'accord. Des questions? On a son rapport?<brk>	Yes, <p>it</p>'s in the infirmary already.	Oui, il est à l'infirmerie.	Oui, <p>il</p> est à l'infirmerie.
And that it ran off before we all got a go.	 Et qu'il s'est enfui avant qu'on ait tous essayé.	True. Did you mention we stole a horse? Yes. Good. You mustn't tell lies.<brk> And that it ran off before we all got a go.	 C'est vrai. Tu as dit qu'on avait volé un cheval? Oui. Bien. Tu ne dois pas mentir.<brk>	And that <p>it</p> ran off before we all got a go.	Et qu'il s'est sauvé avant qu'on ait tous fait un tour.	Et qu'<p>il</p> s'est sauvé avant qu'on ait tous fait un tour.
Yeah, they're graphic.	 Oui, elles sont graphiques.	The dancer guy? - I don't know why I said that. - I don't either. Folks, we need you to look at some photographs, but I will warn you, they are a little bit graphic. Oh, heavens. I apologise.<brk> Yeah, they're graphic.	 Le danseur? - Je ne sais pas pourquoi j'ai dit ça. - Moi non plus. Messieurs dames, nous avons besoin que vous regardiez quelques photos, mais je vous préviens, elles sont un peu graphiques. Oh, ciel. Je m'excuse.<brk>	Yeah, <p>they</p>'re graphic.	Ouais, elles sont explicites.	Ouais, <p>elles</p> sont explicites.
Look, I don't know about any of that, but here it ain't.	 Écoutez, je ne sais rien de tout ça, mais ici il n'y est pas.	I don't know. And you will, bro. No. Truth is, I'm a pariah in the financial world. My name is ruined.<brk> Look, I don't know about any of that, but here it ain't.	 Je ne sais pas. Et tu le feras, frangin. Non. La vérité, c'est que je suis un paria dans le monde financier. Mon nom est foutu en l'air.<brk>	Look, I don't know about any of that, but here <p>it</p> ain't.	Ecoute, je ne sais rien à propos de ça, mais ici il ne l'est pas.	Ecoute, je ne sais rien à propos de ça, mais ici <p>il</p> ne l'est pas.
