src_en	tgt_fr	src_en_ctx	tgt_fr_ctx	src_en_with_tags	orig_fr	orig_fr_with_tags
Are they the hotel's?	 Sont-elles à l'hôtel?	Yes. And an egg, but only once a week. How's that? Good. Where did these plates come from?<brk> Are they the hotel's?	 Oui. Et un oeuf, mais seulement une fois par semaine. Comment ça? Bien. D'où viennent ces assiettes?<brk>	Are <p>they</p> the hotel's?	Elles sont des assiettes de l'hôtel?	<p>Elles</p> sont des assiettes de l'hôtel?
- What tension did they hold?	 - Quelle tension ont-ils tenu?	- What? - Ivan, it's all going to hell. What? The rebars in the shuttering in pit six, they wouldn't hold a fucking kitten's fart. It's those mavericks from up north we put in there at the last minute.<brk> - What tension did they hold?	 - Quoi? - Ivan, tout va en enfer. Quoi? Les armatures dans l'obturateur dans la fosse 6, elles ne tiendraient pas un putain de pète de chaton. Ce sont ces idiots du nord qu'on a mis là-dedans à la dernière minute.<brk>	- What tension did <p>they</p> hold?	- Elles supportent quelle tension ?	- <p>Elles</p> supportent quelle tension ?
How does it haunt you?	 Comment te hante-t-elle?	I loathe that song. But why did you bite poor Birdie's head off? Because I've heard it more times than I care to. It haunts me. Just stop, for a moment.<brk> How does it haunt you?	 Je déteste cette chanson. Mais pourquoi as-tu mordu la tête du pauvre Birdie? Parce que je l'ai entendu plus de fois que ce que je veux. Elle me hante. Arrêtez, pour un instant.<brk>	How does <p>it</p> haunt you?	Comment peut-elle vous hanter ?	Comment peut-<p>elle</p> vous hanter ?
It's like it never moved.	 On dirait qu'il n'a jamais bougé.	Engines are shut down. No lights. Whoa, it's cold. It's like a dead animal. There's something really wrong here.<brk> It's like it never moved.	 Les moteurs sont éteints. Pas de lumières. Il fait froid. C'est comme un animal mort. Il y a quelque chose qui ne va pas ici.<brk>	It's like <p>it</p> never moved.	C'est comme s'il n'avait jamais bougé.	C'est comme s'<p>il</p> n'avait jamais bougé.
When they never even left the prison.	 Quand elles n'ont jamais quitté la prison.	- What kind of Fae can do that? - A Liderc. Trickster Fae capable of impregnating a host without detection. The oblivious mother finds herself delivering his baby mere days later. Then we wipe the mothers' memories, convince them they've re-offended out in the world...<brk> When they never even left the prison.	 - Quel genre de Fae peut faire ça? - Une Liderc. Fae Trickster capable d'imprénier un hôte sans le savoir. La mère inconsciente se retrouve à accoucher son bébé quelques jours plus tard. Puis on efface les souvenirs des mères, on les convaincs qu'elles ont récidivé dans le monde...<brk>	When <p>they</p> never even left the prison.	Quand elles n'ont jamais quitté la prison.	Quand <p>elles</p> n'ont jamais quitté la prison.
Apparently, it does not get a signal out here in the jungle.	 Apparemment, elle n'a pas de signal ici dans la jungle.	Well, got what we came for. No. Vámonos. Brandy? Thank you, no. You know, besides finding those cages, my men also found your radio.<brk> Apparently, it does not get a signal out here in the jungle.	 Eh bien, j'ai eu ce qu'on voulait. Non. Vámonos. Brandy? Merci, non. Tu sais, à part trouver ces cages, mes hommes ont aussi trouvé ta radio.<brk>	Apparently, <p>it</p> does not get a signal out here in the jungle.	Apparemment, elle ne capte pas de signal ici.	Apparemment, <p>elle</p> ne capte pas de signal ici.
And when the soccer ball hit your chest, it dislodged it, causing the tear in your lung and a small pneumothorax.	 Et quand la balle de football a frappé votre poitrine, elle l'a déloge, causant la larme dans votre poumon et un petit pneumothorax.	Oh. Hi, Dr. Owens. My son posted on his Facebook page that he has a bullet in his lung. It's kind of cool, right? I mean, I'm like a medical mystery. Actually, the going theory is that you breathed it in as a kid.<brk> And when the soccer ball hit your chest, it dislodged it, causing the tear in your lung and a small pneumothorax.	 Oh. Bonjour, Dr Owens. Mon fils a posté sur sa page Facebook qu'il avait une balle dans le poumon. C'est plutôt cool, non? Je suis comme un mystère médical. En fait, la théorie est que vous l'avez respiré quand vous étiez enfant.<brk>	And when the soccer ball hit your chest, it dislodged <p>it</p>, causing the tear in your lung and a small pneumothorax.	Et quand le ballon a tapé ta poitrine, elle s'est délogée, causant la buée dans tes poumons et un petit pneumothorax.	Et quand le ballon a tapé ta poitrine, <p>elle</p> s'est délogée, causant la buée dans tes poumons et un petit pneumothorax.
And it broke down on us right on the eisenhower, of course.	 Et elle s'est cassée sur nous sur l'Eisenhower, bien sûr.	- I love you. And I'm proud to be your brother. - I'm so sorry, Matt. Ron and I just kinda lost track of time, and something happened with his car. I don't know, it had something to do with the clutch.<brk> And it broke down on us right on the eisenhower, of course.	 - Je t'aime. Et je suis fier d'être ton frère. - Je suis vraiment désolé, Matt. Ron et moi avons perdu un peu de temps, et il s'est passé quelque chose avec sa voiture. Je ne sais pas, ça a quelque chose à voir avec la serpillère.<brk>	And <p>it</p> broke down on us right on the eisenhower, of course.	Elle est tombée en panne sur l'Eisenhower, évidemment.	<p>Elle</p> est tombée en panne sur l'Eisenhower, évidemment.
You know how they died.	 Vous savez comment elles sont mortes.	Brenda. I need your help. No. I need your help. You were in the murder room today. You saw the pictures of those women.<brk> You know how they died.	 Brenda. J'ai besoin de votre aide. Non. J'ai besoin de votre aide. Vous étiez dans la salle des meurtres aujourd'hui. Vous avez vu les photos de ces femmes.<brk>	You know how <p>they</p> died.	Tu sais comment elles sont mortes.	Tu sais comment <p>elles</p> sont mortes.
they procure weapons, they lure prey.	 elles vendent des armes, elles attirent les proies.	If she bypasses the gang and cooperates with us, she'd be the next victim. Maybe she got those bruises from Delcampo. Maybe she's the one who killed him. No, men call the shots in a gang. Women tend to facilitate the murders;<brk> they procure weapons, they lure prey.	 Si elle contournait le gang et coopérait avec nous, elle serait la prochaine victime. Peut-être qu'elle a eu ces bleus de Delcampo. Peut-être que c'est elle qui l'a tué. Non, les hommes lancent les coups dans un gang. Les femmes ont tendance à faciliter les meurtres ;<brk>	<p>they</p> procure weapons, <p>they</p> lure prey.	elles trouvent les armes, attirent les proies.	<p>elles</p> trouvent les armes, attirent les proies.
