example_idx	token_idx	side	target_cst_idx	token	saliency_contrast_prob_diff	saliency_kl_divergence	attention_base	input_x_gradient_contrast_prob_diff	input_x_gradient_kl_divergence	is_supporting_context	is_example_correct
0	0	S	0	▁Yes	0.1008	0.4434	0.0035	0.0032	0.0192	0	1
0	1	S	0	.	0.0253	0.1123	0.0004	0.0005	0.0058	0	1
0	2	S	0	▁And	0.022	0.091	0.0004	0.0	0.003	0	1
0	3	S	0	▁an	0.0259	0.0971	0.001	-0.0043	-0.0121	0	1
0	4	S	0	▁egg	0.2581	1.0171	0.0053	0.0029	0.0149	0	1
0	5	S	0	,	0.0211	0.0849	0.0003	-0.0006	0.0021	0	1
0	6	S	0	▁but	0.0299	0.1361	0.0005	0.0001	0.0007	0	1
0	7	S	0	▁only	0.0675	0.3147	0.0008	-0.0084	-0.0567	0	1
0	8	S	0	▁once	0.0926	0.4211	0.0008	-0.0137	-0.0722	0	1
0	9	S	0	▁a	0.0288	0.1289	0.0012	-0.0031	-0.0148	0	1
0	10	S	0	▁week	0.0502	0.2135	0.0011	-0.0035	-0.0164	0	1
0	11	S	0	.	0.0249	0.1111	0.0005	0.0022	0.0074	0	1
0	12	S	0	▁How	0.042	0.1796	0.001	0.002	0.0172	0	1
0	13	S	0	'	0.0224	0.09	0.0004	-0.0017	-0.0056	0	1
0	14	S	0	s	0.0353	0.1487	0.0006	-0.0037	-0.0123	0	1
0	15	S	0	▁that	0.0512	0.2271	0.0013	0.0055	0.0271	0	1
0	16	S	0	?	0.0511	0.24	0.0011	0.0071	0.0319	0	1
0	17	S	0	▁Good	0.077	0.3121	0.0014	0.0049	0.0229	0	1
0	18	S	0	.	0.0586	0.2675	0.0011	0.0115	0.0615	0	1
0	19	S	0	▁Where	0.2457	1.1779	0.0043	0.0482	0.1994	0	1
0	20	S	0	▁did	0.1393	0.5539	0.0021	-0.001	0.0132	0	1
0	21	S	0	▁these	0.1877	0.7053	0.0193	-0.0283	-0.1122	0	1
0	22	S	0	▁plates	0.2919	1.0857	0.027	-0.0293	-0.1151	1	1
0	23	S	0	▁come	0.1552	0.6211	0.0061	0.0076	0.0231	0	1
0	24	S	0	▁from	0.167	0.6728	0.003	0.0271	0.1022	0	1
0	25	S	0	?	0.1186	0.5169	0.0159	0.0238	0.0948	0	1
1	0	S	5	▁-	0.0035	0.0101	0.0003	-0.0004	-0.0012	0	0
1	1	S	5	▁What	0.0017	0.0051	0.0001	0.0002	0.0006	0	0
1	2	S	5	?	0.0027	0.0078	0.0001	-0.0006	-0.0017	0	0
1	3	S	5	▁-	0.0027	0.0077	0.0002	-0.0003	-0.0007	0	0
1	4	S	5	▁Ivan	0.0105	0.0302	0.0003	0.0002	0.0005	0	0
1	5	S	5	,	0.0026	0.0076	0.0001	-0.0001	-0.0003	0	0
1	6	S	5	▁it	0.0074	0.0214	0.0001	-0.0006	-0.0016	0	0
1	7	S	5	'	0.0029	0.0085	0.0003	-0.0001	-0.0002	0	0
1	8	S	5	s	0.0044	0.0125	0.0001	-0.0002	-0.0005	0	0
1	9	S	5	▁all	0.0028	0.0083	0.0005	-0.0004	-0.0012	0	0
1	10	S	5	▁going	0.0068	0.0198	0.0001	-0.0009	-0.0025	0	0
1	11	S	5	▁to	0.0027	0.0078	0.0001	-0.0002	-0.0005	0	0
1	12	S	5	▁hell	0.0133	0.0387	0.0002	0.0018	0.0053	0	0
1	13	S	5	.	0.003	0.0087	0.0001	0.0001	0.0002	0	0
1	14	S	5	▁What	0.0023	0.0069	0.0001	0.0002	0.0007	0	0
1	15	S	5	?	0.0037	0.0109	0.0002	0.0001	0.0002	0	0
1	16	S	5	▁The	0.0112	0.0332	0.0009	-0.0014	-0.0043	0	0
1	17	S	5	▁re	0.0173	0.0508	0.0003	-0.0027	-0.0077	1	0
1	18	S	5	bar	0.0287	0.0849	0.0004	0.0033	0.0097	1	0
1	19	S	5	s	0.0087	0.0256	0.0007	-0.0016	-0.0048	1	0
1	20	S	5	▁in	0.0092	0.0272	0.0001	0.0001	0.0002	0	0
1	21	S	5	▁the	0.0095	0.0281	0.0002	-0.0009	-0.0029	0	0
1	22	S	5	▁shutter	0.0272	0.0793	0.0002	-0.001	-0.0035	0	0
1	23	S	5	ing	0.0072	0.0213	0.0002	0.0001	0.0	0	0
1	24	S	5	▁in	0.0019	0.0057	0.0001	0.0002	0.0005	0	0
1	25	S	5	▁pit	0.0116	0.0341	0.0007	0.0004	0.0013	0	0
1	26	S	5	▁six	0.0039	0.0111	0.0003	0.0002	0.0005	0	0
1	27	S	5	,	0.003	0.0092	0.0001	-0.0005	-0.0015	0	0
1	28	S	5	▁they	0.0067	0.0195	0.0014	0.0005	0.0013	0	0
1	29	S	5	▁wouldn	0.0139	0.0411	0.0004	-0.0021	-0.0064	0	0
1	30	S	5	'	0.0026	0.0074	0.0004	-0.0002	-0.0007	0	0
1	31	S	5	t	0.002	0.0057	0.0004	0.0001	0.0002	0	0
1	32	S	5	▁hold	0.0096	0.0284	0.0014	0.0001	0.0007	0	0
1	33	S	5	▁a	0.005	0.0146	0.0006	-0.0001	-0.0004	0	0
1	34	S	5	▁fucking	0.0276	0.0807	0.0018	-0.0008	-0.0025	0	0
1	35	S	5	▁kitten	0.0774	0.228	0.0035	-0.0012	-0.0038	0	0
1	36	S	5	'	0.0065	0.0195	0.0006	-0.0006	-0.0019	0	0
1	37	S	5	s	0.0092	0.0272	0.0004	-0.0004	-0.0011	0	0
1	38	S	5	▁far	0.0187	0.0543	0.001	-0.0016	-0.0045	0	0
1	39	S	5	t	0.0138	0.0414	0.0004	-0.003	-0.0086	0	0
1	40	S	5	.	0.0066	0.0197	0.0002	0.0004	0.0011	0	0
1	41	S	5	▁It	0.0108	0.0323	0.0005	0.0002	0.0007	0	0
1	42	S	5	'	0.0365	0.1058	0.0006	-0.007	-0.0203	0	0
1	43	S	5	s	0.0122	0.0369	0.0019	-0.0011	-0.003	0	0
1	44	S	5	▁those	0.0322	0.0955	0.0064	-0.001	-0.0034	0	0
1	45	S	5	▁ma	0.0628	0.1843	0.0047	0.0017	0.0051	0	0
1	46	S	5	ve	0.0749	0.2181	0.0026	-0.0079	-0.0235	0	0
1	47	S	5	rick	0.1781	0.5228	0.0018	0.003	0.0088	0	0
1	48	S	5	s	0.0755	0.22	0.0097	-0.0003	-0.0009	0	0
1	49	S	5	▁from	0.0396	0.1142	0.0008	-0.0054	-0.0158	0	0
1	50	S	5	▁up	0.0152	0.0444	0.0013	-0.0004	-0.0013	0	0
1	51	S	5	▁north	0.0407	0.1198	0.0014	0.0007	0.0018	0	0
1	52	S	5	▁we	0.0168	0.0479	0.0032	0.0013	0.0031	0	0
1	53	S	5	▁put	0.0138	0.0395	0.0037	-0.0001	-0.0004	0	0
1	54	S	5	▁in	0.005	0.0145	0.0012	0.0003	0.001	0	0
1	55	S	5	▁there	0.0185	0.0537	0.0014	0.0019	0.0057	0	0
1	56	S	5	▁at	0.0064	0.019	0.0009	-0.0	-0.0001	0	0
1	57	S	5	▁the	0.0132	0.0388	0.0009	-0.0	-0.0001	0	0
1	58	S	5	▁last	0.0107	0.0312	0.0014	0.0002	0.0006	0	0
1	59	S	5	▁minute	0.0117	0.0336	0.0011	0.0011	0.0031	0	0
1	60	S	5	.	0.0144	0.0417	0.0025	0.0013	0.0036	0	0
2	0	S	7	▁I	0.3922	0.6766	0.0002	-0.0582	-0.1005	0	1
2	1	S	7	▁lo	1.1215	1.9348	0.0001	-0.2207	-0.3807	0	1
2	2	S	7	a	0.6354	1.0962	0.0	0.0244	0.0421	0	1
2	3	S	7	the	0.898	1.5492	0.0	0.2038	0.3517	0	1
2	4	S	7	▁that	1.7824	3.0747	0.0003	0.398	0.6866	0	1
2	5	S	7	▁song	4.1838	7.2175	0.0033	0.7661	1.3217	1	1
2	6	S	7	.	1.1531	1.9892	0.0	0.3944	0.6805	0	1
2	7	S	7	▁But	0.4008	0.6914	0.0	0.0651	0.1123	0	1
2	8	S	7	▁why	0.4465	0.7703	0.0002	-0.0385	-0.0665	0	1
2	9	S	7	▁did	0.3099	0.5346	0.0	0.0067	0.0115	0	1
2	10	S	7	▁you	0.3427	0.5912	0.0004	-0.0441	-0.0761	0	1
2	11	S	7	▁bite	0.8039	1.3869	0.0004	-0.0681	-0.1174	0	1
