example_idx	token_idx	token	probability	contrast_prob	contrast_prob_diff	pcxmi	kl_divergence	kl_div_10	top_p_size_10	kl_div_30	top_p_size_30	kl_div_50	top_p_size_50	kl_div_70	top_p_size_70	kl_div_90	top_p_size_90	kl_div_l0	kl_div_l1	kl_div_l2	kl_div_l3	kl_div_l4	kl_div_l5	src_ctx_attr	src_brk_attr	src_curr_attr	src_eos_attr	tgt_curr_attr	is_supporting_context	is_context_sensitive	is_example_correct
0	0	▁Elles	0.1341	0.8478	-0.7136	2.6599	1.8305	1.5445	1.0	1.5445	1.0	1.5445	1.0	1.9562	2.0	1.9065	5.0	0.0	0.0	0.0004	0.0002	0.001	0.0184	0.2837	0.2119	0.4024	0.1019	0.0	0	1	1
0	1	▁sont	0.8288	0.7636	0.0652	-0.1182	0.0308	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0204	2.0	0.0	0.0071	0.0127	0.0428	0.0827	0.0067	0.2134	0.2425	0.282	0.102	0.1601	0	0	1
0	2	▁à	0.7773	0.8916	-0.1143	0.1979	0.0633	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0407	2.0	0.0	0.0004	0.0107	0.0192	0.0256	0.1839	0.149	0.1128	0.3429	0.0894	0.3059	0	0	1
0	3	▁l	0.9919	0.9939	-0.002	0.003	0.001	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0002	0.0072	0.0123	0.015	0.0004	0.1268	0.1201	0.4083	0.0669	0.2779	0	0	1
0	4	'	0.9969	0.9985	-0.0016	0.0022	0.0009	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0089	0.0063	0.0032	0.0005	0.1395	0.0877	0.1533	0.0309	0.5886	0	0	1
0	5	hôtel	0.9301	0.9562	-0.0261	0.0399	0.0071	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0025	0.0072	0.0114	0.0207	0.0327	0.1751	0.089	0.2304	0.0395	0.466	0	0	1
0	6	?	0.194	0.1861	0.0079	-0.0599	0.0006	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0002	2.0	0.0	0.0	0.0074	0.0215	0.0616	0.0002	0.0911	0.0824	0.1318	0.0363	0.6583	0	0	1
0	7	</s>	0.9954	0.9948	0.0006	-0.0009	0.0006	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0003	0.0151	0.0121	0.0132	0.0001	0.0856	0.0935	0.1132	0.0384	0.6692	0	0	1
1	0	▁-	0.7192	0.6303	0.0888	-0.1902	0.0415	0.0	1.0	0.0	1.0	0.0	1.0	0.0088	1.0	0.0343	2.0	0.0	0.0001	0.0005	0.0004	0.0009	0.0067	0.2467	0.2509	0.4269	0.0756	0.0	0	0	0
1	1	▁Quelle	0.6474	0.5108	0.1366	-0.3418	0.1148	0.0	1.0	0.0	1.0	0.0	1.0	0.1144	2.0	0.1148	7.0	0.0	0.0001	0.0375	0.0411	0.0296	0.0539	0.1641	0.1507	0.5239	0.0818	0.0795	0	0	0
1	2	▁tension	0.9541	0.9746	-0.0205	0.0306	0.02	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0031	0.0157	0.0173	0.0222	0.0846	0.3178	0.059	0.4832	0.0509	0.0891	0	0	0
1	3	▁ont	0.2881	0.4267	-0.1386	0.5665	0.2175	0.0	1.0	0.1783	2.0	0.1987	3.0	0.2055	5.0	0.2152	25.0	0.0	0.0011	0.0263	0.023	0.0329	0.0282	0.1692	0.0794	0.3799	0.0779	0.2936	0	0	0
1	4	-	0.9945	0.9961	-0.0016	0.0023	0.0103	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0001	0.0188	0.0206	0.001	0.0038	0.1626	0.1089	0.2211	0.0735	0.4339	0	0	0
1	5	ils	0.8128	0.9845	-0.1718	0.2766	0.336	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.3347	2.0	0.0	0.0001	0.0093	0.0101	0.0218	0.1312	0.3952	0.1317	0.1512	0.031	0.291	0	1	0
1	6	▁retenu	0.2093	0.2294	-0.0201	0.132	0.242	0.1238	1.0	0.0952	1.0	0.0952	2.0	0.1713	3.0	0.2266	17.0	0.0	0.0	0.0132	0.0254	0.0831	0.139	0.1497	0.1017	0.2698	0.0673	0.4115	0	0	0
1	7	?	0.3603	0.3659	-0.0056	0.0222	0.0008	0.0	1.0	0.0	1.0	0.0	1.0	0.0001	2.0	0.0001	2.0	0.0	0.0	0.006	0.03	0.0455	0.0024	0.0782	0.0769	0.1642	0.0309	0.6499	0	0	0
1	8	</s>	0.9868	0.9853	0.0016	-0.0023	0.0002	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0009	0.0401	0.0151	0.0074	0.0002	0.1075	0.1204	0.1818	0.0561	0.5341	0	0	0
2	0	▁Comment	0.7886	0.6121	0.1766	-0.3656	0.1174	0.0	1.0	0.0	1.0	0.0	1.0	0.0786	1.0	0.1031	5.0	0.0	0.0001	0.0012	0.0006	0.0024	0.0057	0.2005	0.1786	0.5702	0.0507	0.0	0	0	1
2	1	▁te	0.0394	0.2449	-0.2055	2.6357	0.3055	0.0	1.0	0.0	1.0	0.3045	2.0	0.322	3.0	0.3151	7.0	0.0	0.0049	0.0056	0.0481	0.0495	0.0373	0.3237	0.1074	0.4173	0.0551	0.0966	0	0	1
2	2	▁h	0.9965	0.9949	0.0016	-0.0023	0.0011	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0023	0.0201	0.0347	0.088	0.1779	0.0337	0.6394	0.0335	0.1155	0	0	1
2	3	ante	0.9819	0.9876	-0.0057	0.0083	0.0067	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0004	0.0214	0.025	0.0446	0.1482	0.0335	0.4648	0.0209	0.3327	0	0	1
2	4	-	0.9782	0.9717	0.0065	-0.0097	0.0009	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0463	0.0279	0.0665	0.0008	0.093	0.0327	0.1821	0.0215	0.6707	0	0	1
2	5	t	0.9692	0.9294	0.0398	-0.0605	0.0294	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0061	0.0232	0.043	0.0116	0.0729	0.0418	0.0893	0.0128	0.7831	0	0	1
2	6	-	0.9794	0.9515	0.0279	-0.0417	0.0112	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0001	0.0047	0.0148	0.0062	0.0028	0.0527	0.0246	0.0812	0.0101	0.8314	0	0	1
2	7	elle	0.3788	0.7738	-0.395	1.0304	0.3577	0.3569	1.0	0.3569	1.0	0.3569	1.0	0.3569	2.0	0.3569	2.0	0.0	0.0	0.0112	0.0186	0.0119	0.1311	0.2813	0.1619	0.1521	0.036	0.3687	0	1	1
2	8	?	0.2136	0.2407	-0.0272	0.1729	0.0089	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0026	2.0	0.0	0.0003	0.016	0.0228	0.0644	0.0025	0.1314	0.06	0.2345	0.0361	0.5381	0	0	1
2	9	</s>	0.9945	0.9918	0.0027	-0.004	0.0011	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0001	0.0387	0.0207	0.0125	0.0005	0.1079	0.0758	0.1546	0.0409	0.6207	0	0	1
3	0	▁On	0.208	0.1778	0.0302	-0.2264	0.2816	0.0	1.0	0.0	1.0	0.2668	2.0	0.207	3.0	0.2908	5.0	0.0	0.0	0.001	0.0003	0.0011	0.0079	0.1776	0.2543	0.4766	0.0914	0.0	0	0	1
3	1	▁dirait	0.9185	0.9588	-0.0403	0.062	0.0237	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0026	0.0115	0.0166	0.0216	0.1755	0.1166	0.131	0.359	0.0464	0.347	0	0	1
3	2	▁qu	0.9887	0.9944	-0.0057	0.0083	0.0035	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0215	0.0147	0.0032	0.0155	0.0788	0.1045	0.167	0.0268	0.6229	0	0	1
3	3	'	0.9977	0.9981	-0.0004	0.0006	0.0009	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0067	0.0092	0.0005	0.0011	0.1906	0.1135	0.1734	0.0442	0.4783	0	0	1
3	4	il	0.2873	0.9724	-0.6851	1.759	2.0835	2.0841	1.0	2.0841	1.0	2.0841	1.0	2.0841	1.0	2.0841	2.0	0.0	0.003	0.0063	0.0069	0.0184	1.9188	0.333	0.161	0.2343	0.0501	0.2216	0	1	1
3	5	▁n	0.963	0.9588	0.0042	-0.0063	0.0008	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0001	0.0098	0.0114	0.0094	0.0007	0.1342	0.0756	0.4149	0.0456	0.3297	0	0	1
3	6	'	0.9984	0.9987	-0.0002	0.0003	0.0002	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0085	0.0049	0.0013	0.0	0.142	0.1212	0.181	0.0357	0.5202	0	0	1
3	7	a	0.9909	0.991	-0.0001	0.0001	0.0011	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0006	0.0052	0.0049	0.0116	0.0335	0.0881	0.0711	0.3115	0.0318	0.4975	0	0	1
3	8	▁jamais	0.9525	0.9343	0.0182	-0.0279	0.0033	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0003	0.0107	0.0116	0.0035	0.0302	0.0964	0.0773	0.4329	0.0407	0.3527	0	0	1
3	9	▁bou	0.9924	0.9875	0.0049	-0.0071	0.005	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0293	0.0076	0.0092	0.0458	0.1827	0.0547	0.4238	0.0415	0.2973	0	0	1
3	10	gé	0.9625	0.9871	-0.0247	0.0365	0.0165	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	-0.0	0.0008	0.0161	0.0098	0.0131	0.0717	0.0353	0.185	0.0212	0.6868	0	0	1
3	11	.	0.9726	0.9653	0.0073	-0.0108	0.0014	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0109	0.0112	0.0068	0.0026	0.0403	0.0538	0.0877	0.0154	0.8028	0	0	1
3	12	</s>	0.9973	0.9968	0.0005	-0.0007	0.0002	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0038	0.0278	0.012	0.0023	0.0001	0.0609	0.0616	0.0899	0.0234	0.7642	0	0	1
4	0	▁Quand	0.4405	0.3562	0.0843	-0.3066	0.2072	0.0	1.0	0.0	1.0	0.2729	2.0	0.2495	3.0	0.2176	21.0	0.0	0.0001	0.0007	0.0003	0.0018	0.0052	0.2104	0.2556	0.4705	0.0635	0.0	0	0	1
4	1	▁elles	0.1825	0.956	-0.7735	2.3891	2.2832	2.3003	1.0	2.3003	1.0	2.3003	1.0	2.3003	1.0	2.3003	2.0	0.0	0.0014	0.0087	0.0229	0.0258	2.9018	0.4861	0.2291	0.1599	0.0553	0.0696	0	1	1
4	2	▁n	0.5397	0.5178	0.0219	-0.0598	0.0183	0.0	1.0	0.0	1.0	0.0	1.0	0.0037	2.0	0.0084	3.0	0.0	0.0	0.0088	0.0458	0.0487	0.0079	0.1375	0.2393	0.379	0.063	0.1812	0	0	1
