example_idx	token_idx	token	probability	contrast_prob	contrast_prob_diff	pcxmi	kl_divergence	kl_div_10	top_p_size_10	kl_div_30	top_p_size_30	kl_div_50	top_p_size_50	kl_div_70	top_p_size_70	kl_div_90	top_p_size_90	kl_div_l0	kl_div_l1	kl_div_l2	kl_div_l3	kl_div_l4	kl_div_l5	src_ctx_attr	src_brk_attr	src_curr_attr	src_eos_attr	tgt_ctx_attr	tgt_brk_attr	tgt_curr_attr	is_supporting_context	is_context_sensitive	is_example_correct
0	0	▁Elles	0.1418	0.7936	-0.6518	2.4847	1.873	1.8512	1.0	1.8848	2.0	2.3365	4.0	2.1725	5.0	1.9126	12.0	26.5533	0.7351	0.426	0.437	0.9817	2.3785	0.1923	0.1124	0.359	0.0924	0.1747	0.0693	0.0	0	1	1
0	1	▁sont	0.8229	0.8275	-0.0046	0.0081	0.017	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0001	2.0	0.0	0.0754	0.1074	0.1385	0.0999	0.0639	0.1789	0.0949	0.2946	0.1032	0.1063	0.0684	0.1537	0	0	1
0	2	▁à	0.7092	0.6663	0.0429	-0.09	0.0453	0.0	1.0	0.0	1.0	0.0	1.0	0.0063	1.0	0.0063	2.0	0.0	0.0051	0.0916	0.1306	0.1579	0.1379	0.1313	0.0686	0.2889	0.0831	0.0955	0.07	0.2625	0	0	1
0	3	▁l	0.984	0.9892	-0.0053	0.0077	0.0056	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0014	0.0694	0.0838	0.0621	0.0011	0.1042	0.0415	0.2094	0.0432	0.3689	0.0406	0.1922	0	0	1
0	4	'	0.9987	0.9984	0.0003	-0.0004	0.0004	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0004	0.0656	0.0529	0.024	0.0494	0.0912	0.037	0.1758	0.0412	0.3042	0.0396	0.311	0	0	1
0	5	hôtel	0.9732	0.9009	0.0723	-0.1113	0.0436	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0328	0.0823	0.0864	0.0616	0.1029	0.0835	0.0413	0.3027	0.062	0.1712	0.0307	0.3086	0	0	1
0	6	?	0.1918	0.964	-0.7722	2.3296	2.3397	2.3664	1.0	2.3664	1.0	2.3664	1.0	2.3664	1.0	2.3664	2.0	-0.0	0.0001	0.0502	0.1182	0.191	0.8003	0.102	0.0371	0.1006	0.0416	0.3344	0.0428	0.3414	0	0	1
0	7	</s>	0.9876	0.9943	-0.0067	0.0098	0.0038	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0003	0.0875	0.1037	0.2762	0.0322	0.1007	0.0426	0.0708	0.0362	0.3283	0.0596	0.3618	0	0	1
1	0	▁-	0.7385	0.9575	-0.219	0.3747	0.3223	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.2182	3.0	24.8747	0.4136	0.3545	0.3775	1.0315	3.7632	0.167	0.2277	0.3173	0.0809	0.1241	0.0831	0.0	0	0	0
1	1	▁Quelle	0.7358	0.7648	-0.0291	0.0559	0.0819	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0633	4.0	0.0	0.0001	0.1679	0.2253	0.1547	0.1561	0.1379	0.0946	0.3678	0.089	0.1177	0.0765	0.1165	0	0	0
1	2	▁tension	0.989	0.9946	-0.0056	0.0082	0.0076	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	-0.0	0.0158	0.2099	0.1145	0.127	0.063	0.1386	0.0224	0.6179	0.0331	0.0552	0.0262	0.1065	0	0	0
1	3	▁ils	0.6386	0.6947	-0.0562	0.1216	0.3848	0.0	1.0	0.0	1.0	0.0	1.0	0.0459	2.0	0.2688	14.0	-0.0	0.0004	0.2116	0.1199	0.2006	0.4656	0.3538	0.0244	0.1519	0.0359	0.1937	0.0206	0.2198	0	1	0
1	4	▁tenaient	0.5925	0.4319	0.1605	-0.4559	0.2609	0.0	1.0	0.0	1.0	0.1549	1.0	0.1549	2.0	0.2313	11.0	-0.0	0.0	0.0693	0.1071	0.1441	0.274	0.1676	0.0322	0.3319	0.0638	0.1643	0.0196	0.2206	0	0	0
1	5	?	0.5037	0.9774	-0.4736	0.9563	1.3409	0.0	1.0	0.0	1.0	0.0	1.0	1.3509	2.0	1.3509	2.0	0.0	0.0088	0.3212	0.1068	0.1687	0.1205	0.1142	0.0325	0.0907	0.0473	0.3297	0.0362	0.3493	0	0	0
1	6	</s>	0.983	0.9954	-0.0124	0.0181	0.014	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	-0.0	0.0001	0.0869	0.1087	0.0514	0.0081	0.1272	0.0718	0.1301	0.0626	0.1108	0.0759	0.4217	0	0	0
2	0	▁Comment	0.7885	0.6877	0.1008	-0.1973	0.226	0.0	1.0	0.0	1.0	0.0	1.0	0.1231	1.0	0.1873	5.0	26.2264	0.5159	0.3847	0.4164	1.0604	2.7236	0.1608	0.1291	0.5049	0.0581	0.092	0.0551	0.0	0	0	1
2	1	▁elle	0.2007	0.8892	-0.6885	2.1474	1.791	1.4478	1.0	1.4478	1.0	1.4478	2.0	1.6724	5.0	1.7719	12.0	0.0	0.0458	0.3877	0.2036	0.1468	0.2831	0.1858	0.035	0.5262	0.037	0.0752	0.049	0.0918	0	1	1
2	2	▁te	0.4153	0.9821	-0.5668	1.2418	2.422	2.4428	1.0	2.4428	1.0	2.4428	1.0	2.4428	2.0	2.4428	2.0	0.0	0.0	0.2039	0.1256	0.0919	0.2685	0.1404	0.0158	0.6595	0.0357	0.0649	0.0174	0.0664	0	0	1
2	3	▁h	0.9931	0.9997	-0.0066	0.0096	0.0175	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0471	0.1283	0.1232	0.2296	0.2961	0.0135	0.4552	0.022	0.1125	0.015	0.0857	0	0	1
2	4	ante	0.7555	0.9313	-0.1759	0.3019	0.1589	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.1479	2.0	0.0	0.0	0.0033	0.1213	0.1047	0.1021	0.1365	0.0153	0.35	0.0202	0.0584	0.0426	0.377	0	0	1
2	5	?	0.2129	0.9658	-0.7529	2.1816	2.4039	2.4404	1.0	2.4404	1.0	2.4404	1.0	2.4404	1.0	2.4404	2.0	0.0	0.0	0.1701	0.1195	0.3067	0.3888	0.1074	0.0188	0.2243	0.0238	0.2821	0.0487	0.295	0	0	1
2	6	</s>	0.9904	0.9962	-0.0058	0.0084	0.0042	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	-0.0	0.0001	0.1375	0.1787	0.5465	0.0187	0.1114	0.0443	0.2164	0.0496	0.1089	0.0619	0.4075	0	0	1
3	0	▁C	0.5326	0.3238	0.2088	-0.7179	0.3157	0.0	1.0	0.0	1.0	0.2651	1.0	0.2698	3.0	0.2715	8.0	25.8301	0.5787	0.3846	0.4236	1.2564	3.9814	0.1864	0.1309	0.4656	0.0957	0.0666	0.0548	0.0	0	0	1
3	1	'	0.9991	0.999	0.0001	-0.0001	0.0009	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0004	0.065	0.11	0.0715	0.0196	0.1045	0.0764	0.2301	0.0434	0.1367	0.1492	0.2597	0	0	1
3	2	est	0.9954	0.9977	-0.0023	0.0034	0.0022	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0153	0.1288	0.1333	0.0904	0.0085	0.1076	0.0856	0.2864	0.0482	0.1231	0.102	0.247	0	0	1
3	3	▁comme	0.9484	0.9733	-0.0249	0.0374	0.0296	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0011	0.0823	0.1003	0.1909	0.0079	0.1223	0.0663	0.2901	0.0502	0.1214	0.078	0.2716	0	0	1
3	4	▁s	0.5806	0.7452	-0.1646	0.36	0.0656	0.0	1.0	0.0	1.0	0.0	1.0	0.0648	2.0	0.0648	2.0	-0.0	0.0002	0.0309	0.0983	0.02	0.0001	0.1447	0.0486	0.2509	0.0423	0.1367	0.0634	0.3134	0	0	1
3	5	'	0.9981	0.9978	0.0003	-0.0005	0.0003	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0724	0.084	0.0763	0.0003	0.0848	0.043	0.1549	0.0304	0.0732	0.0815	0.5323	0	0	1
3	6	il	0.9817	0.9947	-0.013	0.019	0.0303	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0299	0.0812	0.0924	0.0717	0.0415	0.0651	0.0259	0.1325	0.0201	0.0837	0.0692	0.6035	0	1	1
3	7	▁n	0.9245	0.9684	-0.044	0.067	0.0266	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0001	0.0944	0.0821	0.1049	0.008	0.1115	0.0367	0.4355	0.0491	0.0422	0.0418	0.2831	0	0	1
3	8	'	0.9967	0.995	0.0017	-0.0024	0.0005	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0738	0.0582	0.0114	0.0003	0.0709	0.0257	0.23	0.0277	0.06	0.0529	0.5328	0	0	1
3	9	avait	0.7305	0.8668	-0.1363	0.2467	0.0736	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.07	2.0	0.0	0.0127	0.0733	0.0703	0.0848	0.1638	0.0532	0.0253	0.2117	0.0282	0.0502	0.0423	0.5891	0	0	1
3	10	▁jamais	0.8704	0.9224	-0.052	0.0837	0.0244	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.008	2.0	0.0	0.0062	0.0771	0.0961	0.0947	0.0003	0.0719	0.0358	0.2844	0.0297	0.0455	0.0379	0.4947	0	0	1
3	11	▁bou	0.9733	0.9712	0.002	-0.003	0.0031	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0443	0.068	0.0273	0.055	0.0854	0.0479	0.3529	0.034	0.0435	0.0216	0.4146	0	0	1
3	12	gé	0.9885	0.9921	-0.0037	0.0054	0.0025	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	-0.0	0.0	0.0019	0.0529	0.0787	0.0331	0.0418	0.015	0.1428	0.0159	0.0314	0.0292	0.7238	0	0	1
3	13	.	0.9771	0.9929	-0.0158	0.0232	0.0136	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0345	0.0896	0.2731	0.0648	0.0536	0.0335	0.1245	0.0239	0.057	0.047	0.6605	0	0	1
3	14	</s>	0.9956	0.998	-0.0024	0.0034	0.0016	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0439	0.0682	0.1041	0.0528	0.0016	0.0591	0.043	0.0788	0.0244	0.0768	0.1036	0.6144	0	0	1
4	0	▁Quand	0.5422	0.6536	-0.1114	0.2697	0.9053	0.0	1.0	0.0	1.0	0.0	1.0	0.8268	3.0	0.8854	26.0	23.8877	0.5244	0.4151	0.4642	1.1344	2.7568	0.2581	0.1478	0.3511	0.042	0.1272	0.0739	0.0	0	0	1
4	1	▁elles	0.1021	0.9898	-0.8876	3.2765	4.166	4.2349	1.0	4.2349	1.0	4.2349	1.0	4.2349	1.0	4.2349	2.0	0.0	0.0138	0.0828	0.1652	0.2835	0.2227	0.3129	0.0571	0.1701	0.0328	0.2233	0.069	0.1348	0	1	1
4	2	▁n	0.2163	0.3489	-0.1326	0.6899	0.0634	0.0	1.0	0.0	1.0	0.0	1.0	0.0414	2.0	0.0405	3.0	-0.0	0.0002	0.1391	0.1469	0.1017	0.0106	0.1666	0.0669	0.329	0.0588	0.1001	0.0873	0.1912	0	0	1
4	3	'	0.9908	0.9984	-0.0077	0.0111	0.0104	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0001	0.1632	0.114	0.0192	0.0625	0.1666	0.0539	0.2093	0.0291	0.1317	0.0655	0.344	0	0	1
4	4	ont	0.9742	0.9831	-0.0089	0.0131	0.036	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0277	0.1538	0.15	0.1115	0.1141	0.1683	0.1094	0.2992	0.0369	0.0565	0.0724	0.2574	0	0	1
4	5	▁même	0.3201	0.6915	-0.3715	1.1115	0.3173	0.2463	1.0	0.2463	1.0	0.2463	2.0	0.2463	2.0	0.3226	3.0	0.0	0.0425	0.1603	0.2247	0.0243	0.0883	0.0997	0.0521	0.3463	0.0341	0.0485	0.0375	0.3818	0	0	1
4	6	▁jamais	0.7331	0.7855	-0.0523	0.0995	0.0495	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0492	2.0	0.0	0.0	0.121	0.1698	0.0041	0.0053	0.1021	0.0481	0.3091	0.0279	0.057	0.0387	0.4171	0	0	1
