example_idx	token_idx	side	target_cst_idx	token	saliency_contrast_prob_diff	saliency_kl_divergence	attention_base	input_x_gradient_contrast_prob_diff	input_x_gradient_kl_divergence	is_supporting_context	is_example_correct
0	0	S	0	▁Yes	0.7637	1.3191	0.0007	-0.034	-0.0613	0	1
0	1	S	0	.	0.3444	0.594	0.0004	-0.0358	-0.0644	0	1
0	2	S	0	▁And	0.2661	0.4608	0.0007	0.0036	0.0052	0	1
0	3	S	0	▁an	0.0961	0.1675	0.001	-0.0122	-0.0213	0	1
0	4	S	0	▁egg	1.2709	2.237	0.0047	-0.0175	-0.0236	0	1
0	5	S	0	,	0.1866	0.325	0.0006	-0.0173	-0.0297	0	1
0	6	S	0	▁but	0.205	0.3609	0.0007	0.0086	0.0162	0	1
0	7	S	0	▁only	0.2086	0.3629	0.0008	-0.0096	-0.0185	0	1
0	8	S	0	▁once	0.2888	0.4942	0.001	-0.0014	-0.0045	0	1
0	9	S	0	▁a	0.192	0.3282	0.002	-0.0329	-0.057	0	1
0	10	S	0	▁week	0.2776	0.476	0.002	-0.0235	-0.0395	0	1
0	11	S	0	.	0.2506	0.4388	0.0006	-0.0247	-0.0494	0	1
0	12	S	0	▁How	0.4514	0.774	0.0017	-0.0349	-0.0534	0	1
0	13	S	0	'	0.183	0.3179	0.001	0.0178	0.0304	0	1
0	14	S	0	s	0.1517	0.2628	0.0013	0.0003	0.0002	0	1
0	15	S	0	▁that	0.2792	0.4913	0.001	0.0144	0.0253	0	1
0	16	S	0	?	0.4097	0.7325	0.0024	-0.0012	-0.0047	0	1
0	17	S	0	▁Good	0.4819	0.8392	0.0146	-0.0088	-0.0141	0	1
0	18	S	0	.	0.5022	0.8917	0.002	-0.0281	-0.0547	0	1
0	19	S	0	▁Where	1.091	1.932	0.0161	-0.0185	-0.0361	0	1
0	20	S	0	▁did	0.6089	1.1001	0.0049	0.013	0.0273	0	1
0	21	S	0	▁these	0.3961	0.7094	0.0165	-0.014	-0.0192	0	1
0	22	S	0	▁plates	1.233	2.2766	0.0339	0.0705	0.1216	1	1
0	23	S	0	▁come	0.4517	0.7858	0.009	-0.0032	-0.0032	0	1
0	24	S	0	▁from	0.4925	0.8532	0.0039	-0.0223	-0.0404	0	1
0	25	S	0	?	0.8095	1.4389	0.0114	0.136	0.2398	0	1
1	0	S	5	▁-	0.034	0.0323	0.0002	-0.0026	-0.0025	0	0
1	1	S	5	▁What	0.1052	0.0997	0.0002	0.0051	0.0048	0	0
1	2	S	5	?	0.0228	0.0216	0.0002	-0.0045	-0.0043	0	0
1	3	S	5	▁-	0.0359	0.0341	0.0002	-0.0014	-0.0013	0	0
1	4	S	5	▁Ivan	0.1945	0.1841	0.0009	0.0074	0.007	0	0
1	5	S	5	,	0.0577	0.0546	0.0002	-0.0002	-0.0002	0	0
1	6	S	5	▁it	0.0309	0.0292	0.0003	0.0015	0.0014	0	0
1	7	S	5	'	0.0452	0.0428	0.0004	0.0044	0.0041	0	0
1	8	S	5	s	0.0384	0.0363	0.0003	0.0058	0.0055	0	0
1	9	S	5	▁all	0.0231	0.0219	0.0005	0.0032	0.0031	0	0
1	10	S	5	▁going	0.029	0.0275	0.0003	-0.0	-0.0	0	0
1	11	S	5	▁to	0.0958	0.0908	0.0002	-0.0005	-0.0005	0	0
1	12	S	5	▁hell	0.1377	0.1304	0.0002	0.0001	-0.0001	0	0
1	13	S	5	.	0.0925	0.0877	0.0001	-0.0114	-0.0108	0	0
1	14	S	5	▁What	0.061	0.0579	0.0001	0.0032	0.003	0	0
1	15	S	5	?	0.0207	0.0197	0.0003	-0.0039	-0.0037	0	0
1	16	S	5	▁The	0.0322	0.0305	0.0005	-0.0007	-0.0007	0	0
1	17	S	5	▁re	0.038	0.036	0.0008	-0.0028	-0.0027	1	0
1	18	S	5	bar	0.0886	0.0839	0.0011	-0.0078	-0.0075	1	0
1	19	S	5	s	0.0327	0.031	0.0005	0.0061	0.0058	1	0
1	20	S	5	▁in	0.0432	0.0409	0.0003	-0.0017	-0.0016	0	0
1	21	S	5	▁the	0.1805	0.1711	0.0002	0.0185	0.0173	0	0
1	22	S	5	▁shutter	0.2691	0.2555	0.0015	-0.0009	-0.0008	0	0
1	23	S	5	ing	0.0315	0.0298	0.0002	0.0015	0.0014	0	0
1	24	S	5	▁in	0.0582	0.0551	0.0002	-0.004	-0.0038	0	0
1	25	S	5	▁pit	0.1053	0.0994	0.0006	-0.0001	-0.0001	0	0
1	26	S	5	▁six	0.0279	0.0264	0.0003	0.004	0.0038	0	0
1	27	S	5	,	0.0492	0.0465	0.0002	-0.0028	-0.0026	0	0
1	28	S	5	▁they	0.0357	0.0338	0.0017	-0.0017	-0.0016	0	0
1	29	S	5	▁wouldn	0.1281	0.1211	0.0005	-0.0084	-0.0078	0	0
1	30	S	5	'	0.0354	0.0335	0.0005	0.0014	0.0013	0	0
1	31	S	5	t	0.0508	0.0481	0.0003	-0.0036	-0.0034	0	0
1	32	S	5	▁hold	0.2873	0.2722	0.0014	-0.01	-0.0095	0	0
1	33	S	5	▁a	0.1056	0.1	0.0005	0.0131	0.0124	0	0
1	34	S	5	▁fucking	0.1741	0.1648	0.0024	0.003	0.0028	0	0
1	35	S	5	▁kit	0.4471	0.4232	0.0026	-0.0272	-0.0257	0	0
