example_idx	token_idx	token	probability	contrast_prob	contrast_prob_diff	pcxmi	kl_divergence	kl_div_10	top_p_size_10	kl_div_30	top_p_size_30	kl_div_50	top_p_size_50	kl_div_70	top_p_size_70	kl_div_90	top_p_size_90	kl_div_l0	kl_div_l1	kl_div_l2	kl_div_l3	kl_div_l4	kl_div_l5	src_ctx_attr	src_brk_attr	src_curr_attr	src_eos_attr	tgt_ctx_attr	tgt_brk_attr	tgt_curr_attr	is_supporting_context	is_context_sensitive	is_example_correct
0	0	▁Sont	0.6495	0.5961	0.0533	-0.1236	0.4794	0.0	1.0	0.0	1.0	0.0	1.0	0.3372	2.0	0.4558	7.0	0.6986	0.2789	0.1096	0.0597	0.1077	0.1373	0.1352	0.1342	0.4488	0.1138	0.0971	0.071	0.0	0	0	1
0	1	-	0.9898	0.9624	0.0274	-0.0405	0.0402	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.1024	0.0736	0.0136	0.0109	0.0102	0.0058	0.0933	0.0516	0.1516	0.0506	0.1195	0.1111	0.4223	0	0	1
0	2	elles	0.2796	0.9803	-0.7007	1.8099	3.483	3.5177	1.0	3.5177	1.0	3.5177	1.0	3.5177	1.0	3.5177	2.0	1.2865	0.027	0.0157	0.0159	0.0108	0.0069	0.064	0.028	0.1333	0.0395	0.0863	0.0969	0.552	0	1	1
0	3	▁à	0.4053	0.6858	-0.2805	0.7587	0.6334	0.0	1.0	0.0	1.0	0.5814	2.0	0.4776	4.0	0.6449	11.0	0.4507	0.0242	0.0099	0.0134	0.0127	0.0486	0.1044	0.0425	0.2697	0.0842	0.0582	0.0924	0.3487	0	0	1
0	4	▁l	0.9919	0.9938	-0.0019	0.0028	0.001	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	2.0165	0.0328	0.0157	0.0068	0.0076	0.0058	0.087	0.0368	0.2621	0.0592	0.0798	0.0706	0.4045	0	0	1
0	5	'	0.9971	0.9984	-0.0012	0.0017	0.0022	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.4304	0.0198	0.0089	0.0092	0.0043	0.0053	0.1113	0.0296	0.2239	0.0522	0.1663	0.0475	0.3691	0	0	1
0	6	hôtel	0.994	0.9854	0.0087	-0.0126	0.0039	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.4596	0.0221	0.0088	0.008	0.0051	0.0045	0.062	0.0263	0.3813	0.0609	0.0409	0.0483	0.3802	0	0	1
0	7	?	0.2787	0.9651	-0.6863	1.7918	1.955	1.9627	1.0	1.9627	1.0	1.9627	1.0	1.9627	1.0	1.9627	2.0	0.1339	0.013	0.0086	0.0088	0.0095	0.0106	0.0878	0.0576	0.1052	0.052	0.4189	0.0277	0.2508	0	0	1
0	8	</s>	0.9929	0.9959	-0.003	0.0044	0.0016	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.6229	0.0198	0.0093	0.0083	0.0047	0.0043	0.0828	0.0623	0.0857	0.0451	0.1148	0.0726	0.5367	0	0	1
1	0	▁-	0.9071	0.982	-0.075	0.1145	0.0992	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.3718	0.307	0.1202	0.0547	0.0664	0.0724	0.1729	0.1907	0.3584	0.0856	0.101	0.0914	0.0	0	0	0
1	1	▁Quelle	0.6275	0.8155	-0.1879	0.378	0.1753	0.0	1.0	0.0	1.0	0.0	1.0	0.109	2.0	0.1147	7.0	1.8306	0.0476	0.036	0.0363	0.0363	0.0251	0.1017	0.0722	0.4732	0.1099	0.0606	0.054	0.1285	0	0	0
1	2	▁tension	0.9732	0.9925	-0.0193	0.0284	0.0275	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.3642	0.0239	0.0075	0.0144	0.0231	0.015	0.1129	0.0265	0.6103	0.1094	0.0265	0.0136	0.1008	0	0	0
