example_idx	token_idx	token	probability	contrast_prob	contrast_prob_diff	pcxmi	kl_divergence	kl_div_10	top_p_size_10	kl_div_30	top_p_size_30	kl_div_50	top_p_size_50	kl_div_70	top_p_size_70	kl_div_90	top_p_size_90	kl_div_l0	kl_div_l1	kl_div_l2	kl_div_l3	kl_div_l4	kl_div_l5	kl_div_l6	kl_div_l7	kl_div_l8	src_langtag_attr	src_ctx_attr	src_brk_attr	src_curr_attr	src_eos_attr	tgt_langtag_attr	tgt_curr_attr	is_supporting_context	is_context_sensitive	is_example_correct	kl_div_l9	kl_div_l10	kl_div_l11
0	0	fr_XX	1.0	1.0	0.0	-0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0006	2.0451	0.0574	0.0711	0.0908	0.105	0.0726	0.0661	0.2222	0.2828	0.3754	0.0535		0.0	0	0	1			
0	1	▁Elles	0.3155	0.9104	-0.5949	1.5289	1.2608	0.9709	1.0	0.9709	1.0	0.9709	1.0	0.9709	2.0	1.2433	3.0	0.0	-0.0	-0.0	0.0	0.0005	0.0296	3.1621	2.0832	1.6682	0.0525	0.237	0.1329	0.3449	0.0371	0.1956	0.0	0	1	1			
0	2	▁sont	0.9996	0.9982	0.0014	-0.0021	0.0013	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0002	0.002	0.0901	0.0501	0.0239	0.0065	0.4154	0.0497	0.1913	0.1381	0.2528	0.0346	0.0379	0.2956	0	0	1			
0	3	▁de	0.2465	0.8952	-0.6486	1.8603	1.7155	1.8816	1.0	1.8816	1.0	1.8816	1.0	1.8816	2.0	1.7773	3.0	0.0	0.0005	0.0058	0.006	0.0052	0.022	0.0018	0.0047	0.0807	0.0387	0.1293	0.057	0.303	0.0299	0.0261	0.4161	0	0	1			
0	4	▁l	0.9954	0.9994	-0.004	0.0057	0.0069	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0003	0.006	0.3387	1.0793	0.0338	0.1013	0.0685	0.2196	0.0241	0.0304	0.5222	0	0	1			
0	5	'	0.9957	0.9938	0.0019	-0.0028	0.0005	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0017	0.0	0.0	0.0287	0.0943	0.0494	0.1949	0.0214	0.0389	0.5725	0	0	1			
0	6	hôtel	0.9984	0.9985	-0.0001	0.0001	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.024	0.0125	0.0141	0.556	0.0302	0.0794	0.0374	0.3329	0.0212	0.0206	0.4783	0	0	1			
0	7	?	0.3252	0.1375	0.1877	-1.2417	0.1201	0.0	1.0	0.0	1.0	0.0	1.0	0.113	2.0	0.113	2.0	0.0	0.0	0.0	0.0001	0.0038	0.1026	0.0301	0.001	0.0003	0.0303	0.0789	0.059	0.135	0.0208	0.0264	0.6496	0	0	1			
0	8	</s>	0.998	0.9918	0.0062	-0.009	0.0043	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.002	5.071	0.0198	0.0	0.0	0.0206	0.0682	0.0628	0.0989	0.0188	0.0316	0.699	0	0	1			
1	0	fr_XX	1.0	0.9999	0.0001	-0.0002	0.0001	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0043	4.6475	0.1107	0.0877	0.0888	0.0619	0.0451	0.0609	0.386	0.272	0.2459	0.0351		0.0	0	0	1	0.0386	0.2059	0.2673
1	1	▁-	0.5671	0.7745	-0.2074	0.4497	0.1456	0.0	1.0	0.0	1.0	0.0	1.0	0.1187	2.0	0.1187	2.0	0.0	0.0	0.0	0.0001	0.0084	0.1128	0.1119	0.0049	0.0004	0.0373	0.256	0.1263	0.3643	0.0347	0.1814	0.0	0	0	1	0.0	0.1305	0.0439
1	2	▁Quelle	0.903	0.6666	0.2364	-0.4379	0.218	0.0	1.0	0.0	1.0	0.0	1.0	0.0777	1.0	0.1997	1.0	0.0	0.0	0.0	0.0	0.0	0.0007	0.0042	0.0003	0.0061	0.0416	0.2026	0.0885	0.3626	0.0321	0.0695	0.2031	0	0	1	3.3845	0.0043	0.0662
1	3	▁tension	0.9167	0.9812	-0.0645	0.0981	0.1411	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0034	0.0156	0.0241	0.0002	0.0	0.0005	0.0331	0.1666	0.0516	0.4523	0.028	0.0249	0.2435	0	0	1	0.0	0.5613	1.4083
1	4	▁ont	0.0593	0.3509	-0.2916	2.5647	2.2432	2.7096	1.0	2.7096	1.0	2.8306	2.0	2.4579	3.0	2.3276	10.0	0.0	-0.0	0.0	0.0009	0.0739	0.0803	0.0064	0.0114	0.0001	0.0349	0.2555	0.0558	0.2429	0.0217	0.0425	0.3467	0	0	1	0.2786	1.667	4.2823
1	5	-	0.9939	0.9886	0.0053	-0.0077	0.0021	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0001	0.0017	0.1201	0.0665	1.1693	0.8321	0.0008	0.0524	0.4683	0.0692	0.1206	0.0226	0.0254	0.2414	0	0	1	0.0	0.0	0.0032
1	6	elles	0.4169	0.6002	-0.1833	0.5257	0.0697	0.0678	1.0	0.0678	1.0	0.0678	1.0	0.0678	2.0	0.0678	2.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.1663	0.1644	0.0614	0.5703	0.0802	0.1071	0.0258	0.0233	0.1318	0	1	1	0.0162	0.1214	0.0022
1	7	▁main	0.9612	0.4138	0.5474	-1.2159	0.731	0.0	1.0	0.0	1.0	0.1607	1.0	0.4965	1.0	0.6496	1.0	0.0	0.0	0.0	0.0004	0.0503	0.1966	3.1402	0.0749	0.0752	0.026	0.1632	0.046	0.341	0.0201	0.0143	0.3894	0	0	1	0.0337	0.0999	4.4367
1	8	ten	0.9994	0.9994	0.0	-0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0088	0.0009	0.0142	0.0694	0.0264	0.1546	0.0127	0.0214	0.7012	0	0	1	0.0	0.0006	0.0002
1	9	ue	0.879	0.9404	-0.0614	0.0974	0.0541	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0018	2.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0054	0.0097	0.0546	0.021	0.1025	0.0098	0.0239	0.7786	0	0	1	0.1535	0.0021	0.0
1	10	?	0.4512	0.5445	-0.0933	0.2712	0.0202	0.0177	1.0	0.0177	1.0	0.0177	1.0	0.0177	2.0	0.0177	2.0	0.0	0.0	-0.0	0.0	0.0	0.0007	0.4919	0.4678	0.0148	0.0224	0.1046	0.0298	0.1078	0.0135	0.0295	0.6924	0	0	1	0.0131	0.0	3.896
1	11	</s>	0.9957	0.9696	0.0261	-0.0383	0.0209	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0028	0.121	0.0563	0.0002	0.0	-0.0	0.0186	0.1341	0.0587	0.1312	0.0149	0.0282	0.6142	0	0	1	0.0	-0.0	0.0095
2	0	fr_XX	1.0	1.0	-0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0014	0.0464	0.0413	0.0517	0.339	0.2207		0.069	0.3982	0.2627	0.2258	0.0443		0.0	0	0	1			
2	1	▁Comment	0.7721	0.636	0.1362	-0.2799	0.1152	0.0	1.0	0.0	1.0	0.0	1.0	0.0904	1.0	0.1122	6.0	0.0	0.0	-0.0	0.0008	0.2175	2.1887	0.4334	1.0254		0.0509	0.2563	0.1751	0.3138	0.0426	0.1613	0.0	0	0	1			
