example_idx	token_idx	token	probability	contrast_prob	contrast_prob_diff	pcxmi	kl_divergence	kl_div_10	top_p_size_10	kl_div_30	top_p_size_30	kl_div_50	top_p_size_50	kl_div_70	top_p_size_70	kl_div_90	top_p_size_90	kl_div_l0	kl_div_l1	kl_div_l2	kl_div_l3	kl_div_l4	kl_div_l5	kl_div_l6	kl_div_l7	kl_div_l8	kl_div_l9	kl_div_l10	src_langtag_attr	src_ctx_attr	src_brk_attr	src_curr_attr	src_eos_attr	tgt_langtag_attr	tgt_ctx_attr	tgt_brk_attr	tgt_curr_attr	is_supporting_context	is_context_sensitive	is_example_correct	kl_div_l11
0	0	fr_XX	1.0	0.0	1.0	-28.8317	19.9845	19.984	1.0	19.984	1.0	19.984	1.0	19.984	1.0	19.984	1.0	16.6437	38.5383	40.0466	41.9004	41.0763	42.4567	48.9946	51.0828	50.9726	62.1982	83.5774										0	0	1	
0	1	▁Son	0.5569	0.0018	0.5551	-8.2898	5.033	6.3059	1.0	6.3059	1.0	6.3059	1.0	5.8743	3.0	5.3017	11.0	0.0	-0.0	0.0	0.0417	0.7738	1.3209	0.1916	0.3168	4.2818	14.4978	24.7296	0.0498	0.1142	0.0704	0.2408	0.0327	0.0172	0.1136	0.3612	0.0	0	1	1	
0	2	t	0.854	0.9017	-0.0478	0.0785	0.0799	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0003	3.0	0.0	0.0006	0.0013	0.0028	0.0068	0.0092	0.0123	0.0045	0.5901	0.0007	0.0002	0.0194	0.0551	0.0354	0.1017	0.0124	0.0429	0.0839	0.1447	0.5046	0	1	1	
0	3	-	0.9928	0.9727	0.0201	-0.0295	0.0248	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	-0.0	0.0	0.0	0.0	0.0	0.0026	0.6901	0.8986	0.0	0.0005	0.0	0.0328	0.0824	0.0445	0.1309	0.0197	0.0207	0.1125	0.1321	0.4242	0	0	1	
0	4	elles	0.7214	0.9924	-0.271	0.4601	2.2351	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	2.1846	2.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0001	0.0002	0.4888	7.3138	43.6171	0.0207	0.0856	0.0268	0.083	0.0133	0.0216	0.1042	0.0855	0.5593	0	1	1	
0	5	▁de	0.3371	0.8023	-0.4652	1.251	0.5992	0.5521	1.0	0.5521	1.0	0.5521	2.0	0.5521	2.0	0.6198	3.0	-0.0	0.0	0.0	0.0001	0.0001	0.4015	1.0	1.1193	0.1724	2.8802	1.2339	0.0427	0.1015	0.0349	0.2182	0.0317	0.0136	0.0699	0.0723	0.4152	0	0	1	
0	6	▁l	0.9728	0.9661	0.0067	-0.01	0.0074	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0001	0.0008	0.0257	0.6374	0.3402	0.0	-0.0	0.0303	0.0863	0.0283	0.2223	0.0282	0.0142	0.0931	0.0648	0.4324	0	0	1	
0	7	'	0.996	0.9986	-0.0026	0.0037	0.0032	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0014	0.0	0.0	0.0	0.0307	0.0774	0.0266	0.1423	0.0197	0.023	0.0851	0.0531	0.5421	0	0	1	
0	8	hôtel	0.9881	0.9872	0.0009	-0.0013	0.0021	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0002	0.0071	0.1925	0.5302	1.1007	2.5033	0.0081	0.0038	0.0383	0.0759	0.0274	0.3633	0.0281	0.0107	0.0384	0.0413	0.3765	0	0	1	
0	9	?	0.35	0.9841	-0.6341	1.4916	2.1595	2.1649	1.0	2.1649	1.0	2.1649	1.0	2.1649	2.0	2.1649	2.0	0.0	0.0001	0.0035	0.0804	1.4218	0.2004	0.0128	0.0276	0.2468	0.4772	23.4208	0.0221	0.0528	0.0371	0.1025	0.0141	0.0175	0.1398	0.0442	0.5698	0	0	1	
